date,rz_balance,rz_buy,rq_volume,rq_balance,rzrq_balance
2019-08-19,22574178,23261242,0,0.0,22574178.0
2019-08-20,29381877,15883381,0,0.0,29381877.0
2019-08-21,55019391,36038139,0,0.0,55019391.0
2019-08-22,60435700,8546967,0,0.0,60435700.0
2019-08-23,60155027,3743685,0,0.0,60155027.0
2019-08-26,60058357,5877685,0,0.0,60058357.0
2019-08-27,63144571,5879639,0,0.0,63144571.0
2019-08-28,63852005,4355034,0,0.0,63852005.0
2019-08-29,70830895,14323701,0,0.0,70830895.0
2019-08-30,68605026,7964008,0,0.0,68605026.0
2019-09-02,75487195,9937812,0,0.0,75487195.0
2019-09-03,76439457,5580719,0,0.0,76439457.0
2019-09-04,76115339,8889370,0,0.0,76115339.0
2019-09-05,84959568,23349750,0,0.0,84959568.0
2019-09-06,89683129,17667642,0,0.0,89683129.0
2019-09-09,99344604,16911243,0,0.0,99344604.0
2019-09-10,105700373,28446359,0,0.0,105700373.0
2019-09-11,113839871,23614924,0,0.0,113839871.0
2019-09-12,110535359,9880925,0,0.0,110535359.0
2019-09-16,116043860,27363214,0,0.0,116043860.0
2019-09-17,123440710,21474929,0,0.0,123440710.0
2019-09-18,123698185,9511868,0,0.0,123698185.0
2019-09-19,129054974,8488658,0,0.0,129054974.0
2019-09-20,128985053,4551210,0,0.0,128985053.0
2019-09-23,131428422,7651495,0,0.0,131428422.0
2019-09-24,135008198,7433984,0,0.0,135008198.0
2019-09-25,130308909,6997671,0,0.0,130308909.0
2019-09-26,128254776,11125758,0,0.0,128254776.0
2019-09-27,126793254,8015593,0,0.0,126793254.0
2019-09-30,124591294,3587562,0,0.0,124591294.0
2019-10-08,127986454,6759689,0,0.0,127986454.0
2019-10-09,129123255,5169588,0,0.0,129123255.0
2019-10-10,161766217,65833036,0,0.0,161766217.0
2019-10-11,147469502,48096645,0,0.0,147469502.0
2019-10-14,175393710,73547909,85200,273492.0,175667202.0
2019-10-15,183330807,44478573,85200,264120.0,183594927.0
2019-10-16,178987273,27505019,85200,257304.0,179244577.0
2019-10-17,172774486,12201171,85200,254748.0,173029234.0
2019-10-18,175181957,14167268,85200,255600.0,175437557.0
2019-10-21,173833110,4537151,85200,253044.0,174086154.0
2019-10-22,171660586,4886387,85200,255600.0,171916186.0
2019-10-23,168254192,9382173,85200,257304.0,168511496.0
2019-10-24,168645313,6000625,0,0.0,168645313.0
2019-10-25,166983603,10120595,0,0.0,166983603.0
2019-10-28,166168830,12123328,0,0.0,166168830.0
2019-10-29,162143782,4072447,0,0.0,162143782.0
2019-10-30,158598540,7245796,0,0.0,158598540.0
2019-10-31,157021222,4658881,0,0.0,157021222.0
2019-11-01,157441750,6797081,0,0.0,157441750.0
2019-11-04,152292783,2250361,0,0.0,152292783.0
