date,rz_balance,rz_buy,rq_volume,rq_balance,rzrq_balance
2025-04-14,29661056,32680060,0,0,29661056
2025-04-15,43006756,20970548,0,0,43006756
2025-04-16,36096618,9579066,0,0,36096618
2025-04-17,41258263,10329197,0,0,41258263
2025-04-18,37147991,6765742,0,0,37147991
2025-04-21,47676999,23940069,0,0,47676999
2025-04-22,56870331,21394778,0,0,56870331
2025-04-23,60940984,26941905,0,0,60940984
2025-04-24,58515307,12125341,0,0,58515307
2025-04-25,63399418,21296508,0,0,63399418
2025-04-28,69619930,17373440,0,0,69619930
2025-04-29,62984055,16537638,0,0,62984055
2025-04-30,51060157,17193374,0,0,51060157
2025-05-06,53561798,15933054,0,0,53561798
2025-05-07,100312646,70061100,100,1566,100314212
2025-05-08,119319346,55492062,0,0,119319346
2025-05-09,115064944,28711483,0,0,115064944
2025-05-12,112812602,51569904,0,0,112812602
2025-05-13,125887472,63477014,100,1638,125889110
2025-05-14,145184878,48345150,0,0,145184878
2025-05-15,143055038,35364610,0,0,143055038
2025-05-16,153209732,43114140,0,0,153209732
2025-05-19,140839310,21606644,0,0,140839310
2025-05-20,184778989,89004347,0,0,184778989
2025-05-21,162947144,47610019,0,0,162947144
2025-05-22,168103636,49520685,0,0,168103636
2025-05-23,202248733,118834897,100,1610,202250343
2025-05-26,209667416,77577960,0,0,209667416
2025-05-27,210691014,43992045,0,0,210691014
2025-05-28,229581248,66084903,0,0,229581248
2025-05-29,232022317,69559170,0,0,232022317
2025-05-30,213312115,56577570,100,1516,213313631
2025-06-03,212259757,22888198,100,1500,212261257
2025-06-04,195991385,28708923,100,1502,195992887
2025-06-05,193181967,67852879,100,1594,193183561
2025-06-06,193332698,58977688,0,0,193332698
2025-06-09,211869513,57981444,0,0,211869513
2025-06-10,193235723,31922142,100,1566,193237289
2025-06-11,195352215,31854020,100,1551,195353766
2025-06-12,190394707,24112932,100,1543,190396250
2025-06-13,181718530,20134836,0,0,181718530
2025-06-16,181781448,16040850,100,1510,181782958
2025-06-17,182189743,24613458,100,1489,182191232
2025-06-18,188200960,30552711,100,1518,188202478
2025-06-19,190333261,57706189,0,0,190333261
2025-06-20,177814009,41154172,0,0,177814009
2025-06-23,171334899,15411729,0,0,171334899
2025-06-24,199384149,57200674,0,0,199384149
2025-06-25,197717282,69300452,100,1535,197718817
2025-06-26,202577270,33049301,100,1515,202578785
2025-06-27,206328014,41917421,100,1526,206329540
2025-06-30,202770740,26934173,0,0,202770740
2025-07-01,202181546,23824421,0,0,202181546
2025-07-02,192529190,25141697,0,0,192529190
2025-07-03,183344447,17635949,0,0,183344447
2025-07-04,176052539,23721473,100,1479,176054018
2025-07-07,188296529,29648012,0,0,188296529
2025-07-08,192204376,34212806,0,0,192204376
2025-07-09,229335566,84955316,0,0,229335566
2025-07-10,233894432,35993209,0,0,233894432
2025-07-11,222334817,32144344,0,0,222334817
2025-07-14,229312433,53072180,100,1534,229313967
2025-07-15,255759516,115380222,100,1602,255761118
2025-07-16,232948522,105742790,100,1645,232950167
2025-07-17,233371759,67178669,0,0,233371759
2025-07-18,240043292,74615853,100,1601,240044893
2025-07-21,230010110,44480485,100,1600,230011710
2025-07-22,241377083,45693916,100,1558,241378641
2025-07-23,238030916,35243984,0,0,238030916
2025-07-24,236723758,25230583,0,0,236723758
2025-07-25,288654511,114701612,0,0,288654511
2025-07-28,263115537,57976580,0,0,263115537
2025-07-29,265515624,117519089,100,1680,265517304
2025-07-30,275980102,60134168,100,1625,275981727
2025-07-31,320064620,167163599,100,1704,320066324
2025-08-01,305190501,91405440,0,0,305190501
2025-08-04,304201832,45977503,100,1673,304203505
2025-08-05,323594949,64642634,100,1682,323596631
2025-08-06,320671166,59777494,100,1662,320672828
2025-08-07,293353353,39837271,0,0,293353353
2025-08-08,308948449,62893648,0,0,308948449
2025-08-11,294460983,67013035,100,1830,294462813
2025-08-12,319938528,178071201,100,1899,319940427
2025-08-13,342118759,152359182,0,0,342118759
2025-08-14,338809183,101642838,0,0,338809183
2025-08-15,356064391,99736342,0,0,356064391
2025-08-18,344677455,42911241,0,0,344677455
2025-08-19,545421648,418289460,0,0,545421648
2025-08-20,555221458,120035352,0,0,555221458
2025-08-21,567905428,275469206,0,0,567905428
2025-08-22,590193498,242820505,100,2231,590195729
2025-08-25,544810581,166195797,100,2345,544812926
2025-08-26,638737927,300364242,0,0,638737927
2025-08-27,653168790,344136079,100,2703,653171493
2025-08-28,603937935,304751961,100,2791,603940726
2025-08-29,510980043,135436483,100,2680,510982723
2025-09-01,417418649,140553411,100,2606,417421255
2025-09-02,436933881,174003469,0,0,436933881
2025-09-03,482750635,169898342,0,0,482750635
2025-09-04,431386839,106087735,0,0,431386839
2025-09-05,488349526,126641134,0,0,488349526
2025-09-08,658140095,367114803,0,0,658140095
2025-09-09,628705599,124914301,0,0,628705599
2025-09-10,663593553,180405773,100,2709,663596262
2025-09-11,665076949,169871113,0,0,665076949
2025-09-12,716643263,286685770,100,2875,716646138
2025-09-15,695259773,236971012,0,0,695259773
2025-09-16,540473284,273801850,100,3055,540476339
2025-09-17,586607364,228307467,0,0,586607364
2025-09-18,544141895,174489380,0,0,544141895
2025-09-19,682095616,334886843,0,0,682095616
2025-09-22,734034319,260963749,0,0,734034319
2025-09-23,722032386,210456521,0,0,722032386
2025-09-24,749521238,288033981,100,3058,749524296
2025-09-25,891327657,535177195,100,3285,891330942
2025-09-26,700897422,235687748,100,2957,700900379
2025-09-29,736629356,216973102,100,2911,736632267
2025-09-30,677574158,180377411,100,2827,677576985
2025-10-09,643572982,178798265,100,2652,643575634
2025-10-10,663796846,145902926,100,2671,663799517
2025-10-13,717478452,221761249,100,2805,717481257
2025-10-14,667583449,190724414,100,2829,667586278
2025-10-15,693978006,303438776,100,3112,693981118
2025-10-16,738794755,359319628,100,3082,738797837
2025-10-17,733635628,207056684,100,2774,733638402
2025-10-20,720270945,178946444,100,2704,720273649
2025-10-21,713169109,123454711,100,2740,713171849
2025-10-22,718808547,90778985,100,2676,718811223
2025-10-23,706372960,58455737,100,2599,706375559
2025-10-24,717997162,102060036,0,0,717997162
2025-10-27,703484139,102644984,0,0,703484139
2025-10-28,720344290,128076112,0,0,720344290
2025-10-29,770306562,172716981,0,0,770306562
2025-10-30,796689831,147952838,100,2560,796692391
2025-10-31,664206115,57367095,0,0,664206115
2025-11-03,681366507,93992008,100,2585,681369092
2025-11-04,665919950,93827338,100,2472,665922422
2025-11-05,657208572,96886475,0,0,657208572
2025-11-06,731883674,241819448,0,0,731883674
2025-11-07,741528041,237335897,100,2687,741530728
2025-11-10,778533226,180377166,0,0,778533226
2025-11-11,739912596,58312741,100,2448,739915044
2025-11-12,720124734,42685659,0,0,720124734
2025-11-13,727868993,61166641,0,0,727868993
2025-11-14,676750456,43063536,100,2286,676752742
2025-11-17,700616281,54683778,100,2303,700618584
2025-11-18,697243474,32991169,100,2290,697245764
2025-11-19,699650105,37323792,100,2268,699652373
2025-11-20,681123225,27545849,100,2253,681125478
2025-11-21,651376897,45820854,100,2151,651379048
2025-11-24,646458447,64336302,0,0,646458447
2025-11-25,623387743,91707705,0,0,623387743
2025-11-26,597379735,67748230,0,0,597379735
2025-11-27,594294667,32469493,0,0,594294667
2025-11-28,598014767,38250081,0,0,598014767
2025-12-01,594147681,25315272,0,0,594147681
2025-12-02,593761067,22957405,0,0,593761067
2025-12-03,619413767,61352447,0,0,619413767
2025-12-04,619909874,24347214,0,0,619909874
2025-12-05,613644059,30917774,0,0,613644059
2025-12-08,645479154,80121178,0,0,645479154
2025-12-09,651927123,99040569,0,0,651927123
2025-12-10,624670300,95112414,0,0,624670300
2025-12-11,634345017,56540860,0,0,634345017
2025-12-12,647645877,116550523,900,22797,647668674
2025-12-15,600026896,47409494,900,22131,600049027
2025-12-16,581851825,31369011,13200,312576,582164401
2025-12-17,590483022,45494709,13200,322080,590805102
2025-12-18,589094490,43382849,13200,306240,589400730
2025-12-19,655153435,126938207,13200,307296,655460731
2025-12-22,630832117,91593968,13200,325380,631157497
2025-12-23,631971478,76835427,13200,331980,632303458
2025-12-24,630361576,117923662,45400,1256218,631617794
2025-12-25,619774635,160780300,46800,1264068,621038703
2025-12-26,591491556,74500513,43000,1157560,592649116
2025-12-29,597800614,63283701,47200,1245608,599046222
2025-12-30,615265546,78171102,40000,1056000,616321546
2025-12-31,626703179,80370870,53200,1406608,628109787
2026-01-05,688821693,146464448,61500,1637745,690459438
2026-01-06,803222510,231006763,61400,1688500,804911010
2026-01-07,773017433,233277402,60900,1772190,774789623
2026-01-08,717561246,193708320,63800,1867426,719428672
2026-01-09,840906082,422114573,64000,2023680,842929762
2026-01-12,826095204,324859379,54500,1796865,827892069
2026-01-13,816133110,260075649,62000,2051580,818184690
2026-01-14,845486904,326821607,63100,2212286,847699190
2026-01-15,859364260,200802277,64200,2076228,861440488
2026-01-16,819065352,134907087,63200,1986376,821051728
2026-01-19,799937245,104284163,60800,1918240,801855485
2026-01-20,780587607,117642347,60800,1816704,782404311
2026-01-21,765119339,100704630,55600,1728604,766847943
2026-01-22,755037191,73152407,41000,1256650,756293841
2026-01-23,737907250,81919975,42300,1281267,739188517
2026-01-26,781026057,141346360,40500,1267245,782293302
2026-01-27,787898536,102576838,81800,2564430,790462966
2026-01-28,806451821,181020252,79500,2575800,809027621
2026-01-29,865832731,203661332,102200,3343984,869176715
2026-01-30,829811870,134878145,98700,3099180,832911050
2026-02-02,815337786,78153755,99000,2946240,818284026
2026-02-03,797061842,161766767,96800,3169232,800231074
2026-02-04,770884712,134529823,94100,3111887,773996599
2026-02-05,784262373,116166106,105400,3136704,787399077
2026-02-06,758769109,64999011,99600,2949156,761718265
2026-02-09,743316503,91827350,102300,3215289,746531792
