date,rz_balance,rz_buy,rq_volume,rq_balance,rzrq_balance
2016-01-04,1517682720,45357227,1320100,5095586,1522778306
2016-01-05,1471461701,41600494,1334477,5164426,1476626127
2016-01-06,1464800405,41402100,1334477,5337908,1470138313
2016-01-07,1456768139,10325318,1334477,4857496,1461625635
2016-01-08,1430894727,37734519,1315800,4907934,1435802661
2016-01-11,1377675883,31250878,1333200,4786188,1382462071
2016-01-12,1352668882,21807321,1333100,4785829,1357454711
2016-01-13,1341746229,20121076,1333200,4679532,1346425761
2016-01-14,1326263624,22465133,1316500,4686740,1330950364
2016-01-15,1306326605,19033030,1329300,4479741,1310806346
2016-01-18,1306446095,27664692,1333200,4479552,1310925647
2016-01-19,1301239190,27979161,1328200,4661982,1305901172
2016-01-20,1299103207,26387648,1331200,4579328,1303682535
2016-01-21,1282411105,14305669,1331200,4432896,1286844001
2016-01-22,1278482638,16055949,1342200,4509792,1282992430
2016-01-25,1261005594,16377499,1337200,4519736,1265525330
2016-01-26,1163586774,18227292,1325700,4030128,1167616902
2016-01-27,1121240826,27500365,1330900,3926155,1125166981
2016-01-28,1094792433,15282317,1319400,3747096,1098539529
2016-01-29,1086056630,22284868,1311300,3881448,1089938078
2016-02-01,1066559102,11730589,1320600,3869358,1070428460
2016-02-02,1068384517,14771867,1304700,3914100,1072298617
2016-02-03,1064600359,15136028,1303200,3961728,1068562087
2016-02-04,1057470342,17581884,1302900,3973845,1061444187
2016-02-05,1042791373,11046349,548300,1655866,1044447239
2016-02-15,1041973315,15138224,569600,1697408,1043670723
2016-02-16,1063469762,47878877,1305900,4061349,1067531111
2016-02-17,1051358992,27775087,1302900,4065048,1055424040
2016-02-18,1072963839,71682078,1305900,4231116,1077194955
2016-02-19,1071715410,19619611,560600,1799526,1073514936
2016-02-22,1064777407,20004161,856300,2808664,1067586071
2016-02-23,1067565648,21982271,865300,2829531,1070395179
2016-02-24,1068944088,14254915,860600,2848586,1071792674
2016-02-25,1036674932,24365505,1099000,3318980,1039993912
2016-02-26,1034112506,16637594,799000,2452930,1036565436
2016-02-29,990914270,16519036,1314900,3852657,994766927
2016-03-01,993367568,21013198,1314900,3931551,997299119
2016-03-02,1011066641,40326138,1317200,4136008,1015202649
2016-03-03,996630294,45364103,1317200,4188696,1000818990
2016-03-04,981529910,39531364,867600,2767644,984297554
2016-03-07,984110020,31941730,867600,2802348,986912368
2016-03-08,986444412,20810869,858600,2738934,989183346
2016-03-09,978365598,8786430,867600,2706912,981072510
2016-03-10,969397793,9553316,867600,2715588,972113381
2016-03-11,967003487,7994811,867600,2732940,969736427
