date,rz_balance,rz_buy,rq_volume,rq_balance,rzrq_balance
2016-01-04,367708643,14552217,0,0,367708643
2016-01-05,346973272,15439493,0,0,346973272
2016-01-06,341164771,9225648,0,0,341164771
2016-01-07,343381180,8449063,0,0,343381180
2016-01-08,340789656,19951950,0,0,340789656
2016-01-11,331068108,8564264,0,0,331068108
2016-01-12,328051985,6646701,0,0,328051985
2016-01-13,330176555,9446317,0,0,330176555
2016-01-14,326789542,5370882,0,0,326789542
2016-01-15,327321971,7675335,0,0,327321971
2016-01-18,328073684,7069120,0,0,328073684
2016-01-19,340026618,39395211,0,0,340026618
2016-01-20,344850797,29127277,0,0,344850797
2016-01-21,336488548,14384519,0,0,336488548
2016-01-22,340123158,19806376,0,0,340123158
2016-01-25,340260071,14852015,0,0,340260071
2016-01-26,328130542,16222204,0,0,328130542
2016-01-27,316555849,9107444,0,0,316555849
2016-01-28,315228950,7098570,0,0,315228950
2016-01-29,316810254,11825434,0,0,316810254
2016-02-01,313455866,6035133,0,0,313455866
2016-02-02,306005749,6306944,0,0,306005749
2016-02-03,301362457,2618378,0,0,301362457
2016-02-04,297260392,9640026,0,0,297260392
2016-02-05,288417871,2249535,0,0,288417871
2016-02-15,288407066,5810868,0,0,288407066
2016-02-16,284485638,6679612,0,0,284485638
2016-02-17,286358682,7778832,0,0,286358682
2016-02-18,283199606,7001062,0,0,283199606
2016-02-19,283295051,5361189,0,0,283295051
2016-02-22,285791306,7918348,200,1880,285793186
2016-02-23,285439060,6187170,200,1856,285440916
2016-02-24,287476813,9228413,200,1878,287478691
2016-02-25,282230491,13283404,200,1714,282232205
2016-02-26,275646414,5924189,200,1730,275648144
2016-02-29,270679296,7264213,200,1616,270680912
2016-03-01,270331495,8548459,200,1660,270333155
2016-03-02,265990659,9632670,200,1750,265992409
2016-03-03,269426483,11763459,200,1778,269428261
2016-03-04,272514238,12249578,200,1736,272515974
2016-03-07,273242347,10731182,200,1806,273244153
2016-03-08,280044112,17678385,200,1798,280045910
2016-03-09,277138292,8013875,200,1754,277140046
2016-03-10,276178178,5262938,200,1718,276179896
2016-03-11,279547797,7947769,200,1704,279549501
2016-03-14,278886687,10296733,200,1752,278888439
2016-03-15,280546479,7352042,200,1744,280548223
2016-03-16,286504697,9582003,200,1716,286506413
2016-03-17,283153504,11199034,200,1776,283155280
2016-03-18,274638036,13177860,200,1832,274639868
2016-03-21,275444015,16088970,200,1876,275445891
2016-03-22,276087552,9159711,200,1868,276089420
2016-03-23,275973153,6007151,200,1868,275975021
2016-03-24,274026395,11782454,200,1846,274028241
2016-03-25,271588183,4809404,200,1850,271590033
2016-03-28,263248847,13564374,200,1898,263250745
2016-03-29,264110865,9186803,200,1886,264112751
