date,rz_balance,rz_buy,rq_volume,rq_balance,rzrq_balance
2021-01-27,5599858,5959399,0,0,5599858
2021-01-28,12643654,10360857,0,0,12643654
2021-01-29,11697695,11583248,0,0,11697695
2021-02-01,23510244,24841668,0,0,23510244
2021-02-02,20453115,15958495,0,0,20453115
2021-02-03,26362777,17264467,0,0,26362777
2021-02-04,21663853,9617304,0,0,21663853
2021-02-05,20558042,5946738,0,0,20558042
2021-02-08,18365420,3680134,3100,151621,18517041
2021-02-09,19742717,6791740,3900,177645,19920362
2021-02-10,18438415,7200036,0,0,18438415
2021-02-18,19344640,6154009,0,0,19344640
2021-02-19,18718963,6564058,0,0,18718963
2021-02-22,18464085,5422207,0,0,18464085
2021-02-23,18650439,4691773,0,0,18650439
2021-02-24,21066087,4473552,0,0,21066087
2021-02-25,21107653,5863550,0,0,21107653
2021-02-26,18995575,3543063,0,0,18995575
2021-03-01,20386476,2745944,0,0,20386476
2021-03-02,18826309,2100890,0,0,18826309
2021-03-03,29394241,14374382,0,0,29394241
2021-03-04,29145404,2313266,0,0,29145404
2021-03-05,27330969,3807184,0,0,27330969
2021-03-08,24136053,13376341,0,0,24136053
2021-03-09,22135138,7121775,0,0,22135138
2021-03-10,22468245,4249975,0,0,22468245
2021-03-11,27661576,7410688,0,0,27661576
2021-03-12,28331441,4429461,0,0,28331441
2021-03-15,28209301,5773669,0,0,28209301
2021-03-16,27073664,2287491,0,0,27073664
2021-03-17,24880042,2863424,0,0,24880042
2021-03-18,24930784,4134383,0,0,24930784
2021-03-19,25247299,6571495,0,0,25247299
2021-03-22,26435288,5431015,0,0,26435288
2021-03-23,27241494,10167396,0,0,27241494
2021-03-24,24874673,4392783,0,0,24874673
2021-03-25,25403017,3790739,0,0,25403017
2021-03-26,25413717,3572129,0,0,25413717
2021-03-29,25031095,2491391,0,0,25031095
2021-03-30,24933022,3201639,0,0,24933022
2021-03-31,25137982,2120962,0,0,25137982
2021-04-01,24717585,1309035,0,0,24717585
2021-04-02,23253162,3823085,0,0,23253162
2021-04-06,23789297,4800547,0,0,23789297
2021-04-07,25764929,7509281,0,0,25764929
2021-04-08,27504938,10924193,0,0,27504938
2021-04-09,29257526,6647801,0,0,29257526
2021-04-12,27095107,8867409,0,0,27095107
2021-04-13,29477732,12924276,0,0,29477732
2021-04-14,33358309,11678866,0,0,33358309
2021-04-15,32960287,11277311,0,0,32960287
2021-04-16,29646922,7061394,0,0,29646922
2021-04-19,29771268,5664350,0,0,29771268
2021-04-20,33824581,12730479,0,0,33824581
2021-04-21,36673648,6454660,0,0,36673648
2021-04-22,37459720,4310502,0,0,37459720
2021-04-23,35284977,3800119,0,0,35284977
2021-04-26,33941644,1969229,0,0,33941644
2021-04-27,31080926,4013038,0,0,31080926
2021-04-28,27172809,1864266,0,0,27172809
2021-04-29,26913597,2813063,0,0,26913597
2021-04-30,26274794,3431386,0,0,26274794
2021-05-06,26363251,3172544,0,0,26363251
2021-05-07,26042420,2958488,0,0,26042420
2021-05-10,28737299,5459589,0,0,28737299
2021-05-11,29314822,3294695,0,0,29314822
2021-05-12,28902955,2832267,0,0,28902955
2021-05-13,27187808,2126306,0,0,27187808
2021-05-14,25542887,1554667,0,0,25542887
2021-05-17,25351732,1673779,0,0,25351732
2021-05-18,27079963,3143435,0,0,27079963
2021-05-19,26414857,1661123,0,0,26414857
2021-05-20,25608689,1419830,0,0,25608689
2021-05-21,23525043,1083306,0,0,23525043
2021-05-24,23656532,1429568,0,0,23656532
2021-05-25,25508036,3692164,0,0,25508036
2021-05-26,26456485,4362403,0,0,26456485
2021-05-27,27238576,2894995,0,0,27238576
2021-05-28,26559850,2961151,0,0,26559850
2021-05-31,25856565,1523009,0,0,25856565
2021-06-01,26700624,2466563,0,0,26700624
2021-06-02,26025358,2909399,0,0,26025358
2021-06-03,25620167,2799408,0,0,25620167
2021-06-04,26924818,2954397,0,0,26924818
2021-06-07,25705402,1784696,0,0,25705402
2021-06-08,24736543,1865653,0,0,24736543
2021-06-09,23717936,1548365,0,0,23717936
2021-06-10,23596091,1186733,0,0,23596091
2021-06-11,24435129,2295065,0,0,24435129
2021-06-15,24918968,2800851,0,0,24918968
2021-06-16,28378846,10050453,0,0,28378846
2021-06-17,31180910,10749649,0,0,31180910
2021-06-18,31716803,6768418,0,0,31716803
2021-06-21,29949677,5995197,0,0,29949677
2021-06-22,30761216,4135780,0,0,30761216
2021-06-23,30931520,4406982,0,0,30931520
2021-06-24,30535654,2741981,0,0,30535654
2021-06-25,30652168,2255131,0,0,30652168
2021-06-28,29223280,1796774,0,0,29223280
2021-06-29,28748769,1760367,0,0,28748769
2021-07-01,29325817,6877835,0,0,29325817
2021-07-02,27995020,2702646,0,0,27995020
2021-07-05,28095176,1577085,0,0,28095176
2021-07-06,28538363,2534880,0,0,28538363
2021-07-07,27743359,2738897,0,0,27743359
2021-07-08,27980502,2954933,0,0,27980502
2021-07-09,27379777,950215,0,0,27379777
