date,rz_balance,rz_buy,rq_volume,rq_balance,rzrq_balance
2023-07-26,100657682,122196152,2956737,146742857.31,247400539.31
2023-07-27,81043571,99656020,2993052,160577239.8,241620810.8
2023-07-28,56365516,49694710,2848471,148120492.0,204486008.0
2023-07-31,71383132,50620869,2664494,132078967.58,203462099.58
2023-08-01,60158970,27160946,945710,46755902.4,106914872.4
2023-08-02,63576284,23409244,650592,30961673.28,94537957.28
2023-08-03,68919796,28082198,702437,31764201.14,100683997.14
2023-08-04,80719609,40744784,820211,39862254.6,120581863.6
2023-08-07,59578152,11938419,852108,41156816.4,100734968.4
2023-08-08,50640371,6146920,618996,30176055.0,80816426.0
2023-08-09,45854129,8093555,585598,28108704.0,73962833.0
2023-08-10,52607524,14111783,595671,29205749.13,81813273.13
2023-08-11,48075648,10333712,624264,30732516.72,78808164.72
2023-08-14,49029186,15493874,563615,28265292.25,77294478.25
2023-08-15,50522395,7743757,513350,25575097.0,76097492.0
2023-08-16,44294718,6955623,377663,17882343.05,62177061.05
2023-08-17,38704149,5569607,350849,17051261.4,55755410.4
2023-08-18,37457348,15534306,548858,27212379.64,64669727.64
2023-08-21,38412443,10145014,481211,23290612.4,61703055.4
2023-08-22,37623838,9509599,287632,13354753.76,50978591.76
2023-08-23,40471816,8741516,299422,13084741.4,53556557.4
2023-08-24,40959369,5240206,274449,11861685.78,52821054.78
2023-08-25,38762771,4389841,279675,11572951.5,50335722.5
2023-08-28,41708598,13141543,322059,13774463.43,55483061.43
2023-08-29,35848564,8448521,247231,11503658.43,47352222.43
2023-08-30,31243196,7043857,365488,17996629.12,49239825.12
2023-08-31,26831267,5001798,327139,15928397.91,42759664.91
2023-09-01,26931454,4995618,345575,16933175.0,43864629.0
2023-09-04,27017288,5711907,321078,15678238.74,42695526.74
2023-09-05,26954066,4830534,297228,14724675.12,41678741.12
2023-09-06,25462010,2856944,313049,15549143.83,41011153.83
2023-09-07,26961016,5290421,330597,15967835.1,42928851.1
2023-09-08,25924438,2835172,323853,15541705.47,41466143.47
2023-09-11,25742665,3553575,327592,15852176.88,41594841.88
2023-09-12,28199314,5423468,306327,14887492.2,43086806.2
2023-09-13,26167175,2558298,299064,13981242.0,40148417.0
2023-09-14,23831304,3041247,282150,12640320.0,36471624.0
2023-09-15,23785142,2957507,290587,12724804.73,36509946.73
2023-09-18,24403260,3264133,303097,13536312.02,37939572.02
2023-09-19,23853490,2749408,236712,10436632.08,34290122.08
2023-09-20,25757319,3640732,231244,9968928.84,35726247.84
2023-09-21,25547916,1604857,231019,9899164.15,35447080.15
2023-09-22,25875063,3863054,227162,9913349.68,35788412.68
2023-09-25,27579474,4201279,218840,9646467.2,37225941.2
2023-09-26,29367414,4626427,195219,8517404.97,37884818.97
2023-09-27,30914920,3229743,155281,6726772.92,37641692.92
2023-09-28,29962161,2838467,94910,4079231.8,34041392.8
2023-10-09,31907842,10922015,115746,5302324.26,37210166.26
2023-10-10,31173534,8749712,114639,5109460.23,36282994.23
2023-10-11,31614682,4870320,59093,2632002.22,34246684.22
2023-10-12,35829931,9644810,78705,3491353.8,39321284.8
2023-10-13,37040025,6558942,79879,3550621.55,40590646.55
2023-10-16,36773207,6420006,83055,3749102.7,40522309.7
2023-10-17,36752925,6268617,71381,3033692.5,39786617.5
2023-10-18,36117834,2390509,62311,2622046.88,38739880.88
2023-10-19,34495002,1459932,67914,2838805.2,37333807.2
2023-10-20,33521677,3220174,76536,3056082.48,36577759.48
2023-10-23,31729662,2630585,89691,3557145.06,35286807.06
2023-10-24,32826517,1951326,99976,4032032.08,36858549.08
2023-10-25,34494708,4384684,92074,3669148.9,38163856.9
2023-10-26,36596730,4243077,94273,3793545.52,40390275.52
2023-10-27,34004083,4935707,89324,3653351.6,37657434.6
2023-10-30,39164942,12719838,113021,4312881.36,43477823.36
2023-10-31,53778966,21389967,115835,4160793.2,57939759.2
2023-11-01,53612666,6173724,95639,3447785.95,57060451.95
2023-11-02,55087369,4747468,90965,3211064.5,58298433.5
2023-11-03,48397071,2707181,102912,3762462.72,52159533.72
2023-11-06,53859054,19824432,127098,4912337.7,58771391.7
2023-11-07,58973889,10926765,129188,5046083.28,64019972.28
2023-11-08,61954232,16718852,114396,4526649.72,66480881.72
2023-11-09,51530516,5306949,106264,4248434.72,55778950.72
2023-11-10,44073667,5189155,118705,4616437.45,48690104.45
2023-11-13,46223486,6914631,81885,3138652.05,49362138.05
2023-11-14,50600017,14031047,87664,3510943.2,54110960.2
2023-11-15,50267467,9600843,87417,3487064.13,53754531.13
2023-11-16,48634469,5075701,69071,2694459.71,51328928.71
2023-11-17,50805963,14097261,101989,4243762.29,55049725.29
