date,rz_balance,rz_buy,rq_volume,rq_balance,rzrq_balance
2019-08-19,657714,671034,0,0,657714
2019-08-20,115270,103155,0,0,115270
2019-08-21,262926,433213,0,0,262926
2019-08-22,311999,137183,0,0,311999
2019-08-23,804247,671748,0,0,804247
2019-08-26,1790109,1463873,0,0,1790109
2019-08-27,4024615,2728226,0,0,4024615
2019-08-28,2760552,347175,0,0,2760552
2019-08-29,3509869,951857,0,0,3509869
2019-08-30,3310622,463622,0,0,3310622
2019-09-02,4328120,1633229,0,0,4328120
2019-09-03,3524199,144236,0,0,3524199
2019-09-04,3718035,717051,0,0,3718035
2019-09-05,3816519,864823,0,0,3816519
2019-09-06,3908204,821377,0,0,3908204
2019-09-09,6090782,2738685,0,0,6090782
2019-09-10,9957058,5055131,0,0,9957058
2019-09-11,8268477,2777146,0,0,8268477
2019-09-12,9367391,1762285,0,0,9367391
2019-09-16,28651393,25621710,0,0,28651393
2019-09-17,29175005,9478036,0,0,29175005
2019-09-18,31900040,9122784,0,0,31900040
2019-09-19,35242176,26668993,0,0,35242176
2019-09-20,37714749,15256960,0,0,37714749
2019-09-23,46294531,27786099,0,0,46294531
2019-09-24,46427783,10312479,0,0,46427783
2019-09-25,49048206,6525795,0,0,49048206
2019-09-26,37832546,5315493,0,0,37832546
2019-09-27,38942076,4774757,0,0,38942076
2019-09-30,38505343,2728868,0,0,38505343
2019-10-08,40140911,6037647,0,0,40140911
2019-10-09,40475222,2462401,0,0,40475222
2019-10-10,42887730,4939209,0,0,42887730
2019-10-11,44398816,7581129,150800,882180,45280996
2019-10-14,44413761,6294662,148800,873456,45287217
2019-10-15,46238872,4112194,118800,674784,46913656
2019-10-16,49030496,6736716,35500,197025,49227521
2019-10-17,48084979,5553783,36500,197465,48282444
2019-10-18,44797657,5161538,30600,168606,44966263
2019-10-21,48913864,8701439,33320,183260,49097124
2019-10-22,52028279,8431643,95300,529868,52558147
2019-10-23,52051765,3085590,91300,501237,52553002
2019-10-24,51154845,1261631,91800,512244,51667089
2019-10-25,46538399,3395908,57000,311790,46850189
2019-10-28,35220072,2672061,56500,309620,35529692
2019-10-29,37861118,6917855,26500,149725,38010843
2019-10-30,35315037,627284,27500,152625,35467662
2019-10-31,35986055,3989182,20500,117055,36103110
2019-11-01,38621541,6053496,32000,183040,38804581
2019-11-04,35645137,1969472,36000,207720,35852857
2019-11-05,33522326,4903884,55700,329744,33852070
2019-11-06,36526063,9554928,7700,45430,36571493
2019-11-07,37097777,3723674,0,0,37097777
2019-11-08,36908731,2787253,0,0,36908731
2019-11-11,37706974,1941729,0,0,37706974
2019-11-12,40980969,4784386,0,0,40980969
2019-11-13,39558150,947784,0,0,39558150
2019-11-14,47548205,8931919,4000,22200,47570405
2019-11-15,41377045,4312015,0,0,41377045
2019-11-18,42498871,2311029,0,0,42498871
2019-11-19,42760806,1565522,0,0,42760806
2019-11-20,43539875,1868188,0,0,43539875
2019-11-21,43303670,1652963,0,0,43303670
2019-11-22,47396936,8602734,4000,22760,47419696
2019-11-25,46131139,871707,4000,22600,46153739
2019-11-26,45439333,688628,8300,46314,45485647
2019-11-27,46689017,2023122,4000,21720,46710737
2019-11-28,46453369,337008,4000,21560,46474929
2019-11-29,46935188,684952,1000,5430,46940618
2019-12-02,47529503,1118180,0,0,47529503
