date,rz_balance,rz_buy,rq_volume,rq_balance,rzrq_balance
2019-11-18,184440899,219273157,714530,90280865.5,274721764.5
2019-11-19,276833942,160940714,710151,96587637.51,373421579.51
2019-11-20,316943954,111079051,727173,107039865.6,423983819.6
2019-11-21,353060881,164006321,717342,101812350.06,454873231.06
2019-11-22,463102400,166753571,635988,84891678.24,547994078.24
2019-11-25,469435470,46739898,641982,85999908.72,555435378.72
2019-11-26,500505691,48531885,605699,81042526.2,581548217.2
2019-11-27,509689315,15996523,672774,90353548.2,600042863.2
2019-11-28,494084653,30767438,696270,93077373.6,587162026.6
2019-11-29,509986112,36583457,777385,106113052.5,616099164.5
2019-12-02,502741072,12416597,698861,96645487.69,599386559.69
2019-12-03,488924975,11584622,658555,90222035.0,579147010.0
2019-12-04,486025418,16506918,666599,93097216.34,579122634.34
2019-12-05,478229704,9455603,606534,83750214.72,561979918.72
2019-12-06,489952746,22617982,604233,82719497.7,572672243.7
2019-12-09,486723951,33334546,671320,96401552.0,583125503.0
2019-12-10,459411272,49273320,709785,107532427.5,566943699.5
2019-12-11,467357495,36375903,656142,101026183.74,568383678.74
2019-12-12,464279140,21056541,601171,92339865.6,556619005.6
2019-12-13,449196787,10096559,473654,72757990.94,521954777.94
2019-12-16,397367525,22173442,490450,81905150.0,479272675.0
2019-12-17,411660316,33887784,393374,65260746.6,476921062.6
2019-12-18,421434799,42708147,388553,66563014.43,487997813.43
2019-12-19,423794703,39511073,401124,64244019.84,488038722.84
2019-12-20,385020236,17351638,394883,65925716.85,450945952.85
2019-12-23,373732181,32218399,408733,64171081.0,437903262.0
2019-12-24,363040521,4287752,412722,67356230.4,430396751.4
2019-12-25,352767664,5711267,445403,71888044.2,424655708.2
2019-12-26,352695598,10621808,419212,69304127.84,421999725.84
2019-12-27,324914796,4913752,428260,69249642.0,394164438.0
2019-12-30,334178059,22988063,399330,65450187.0,399628246.0
2020-01-02,390630501,81306544,377438,59069047.0,449699548.0
2020-01-03,379140799,25723743,383338,57500700.0,436641499.0
2020-01-06,390565961,37466564,341410,52164033.9,442729994.9
2020-01-07,157395430,13128048,358129,54786574.42,212182004.42
2020-01-08,176849793,34898097,277990,41367691.9,218217484.9
2020-01-09,195456961,50558329,318599,50020043.0,245477004.0
2020-01-10,204577982,36764965,320332,50058281.64,254636263.64
