date,rz_balance,rz_buy,rq_volume,rq_balance,rzrq_balance
2022-10-24,2074002,2362613,0,0,2074002
2022-10-25,2812276,1050740,110700,1205523,4017799
2022-10-26,3238550,1726368,183200,2050008,5288558
2022-10-27,5126839,2671198,215100,2484405,7611244
2022-10-28,10366059,6836554,297075,3282679,13648738
2022-10-31,14082974,4134872,335375,3712601,17795575
2022-11-01,14842163,4239362,305875,3636854,18479017
2022-11-02,15433313,4306733,294375,3579600,19012913
2022-11-03,19843526,6100361,312500,3706250,23549776
2022-11-04,21815517,8572891,328700,3977270,25792787
2022-11-07,21947869,4872805,330100,4080036,26027905
2022-11-08,23078604,2794067,315100,3875730,26954334
2022-11-09,24628722,3454229,333500,4175420,28804142
2022-11-10,28186098,9640508,322900,3936151,32122249
2022-11-11,26153748,5566053,376300,4771484,30925232
2022-11-14,23760606,2920056,422300,5451893,29212499
2022-11-15,25749043,4944360,423900,5464071,31213114
2022-11-16,26037790,4005016,425385,5525752,31563542
2022-11-17,27250496,3924191,434835,5687642,32938138
2022-11-18,27614199,3146993,372010,4836130,32450329
2022-11-21,25735277,1260890,351210,4477928,30213205
2022-11-22,29422214,5104779,340460,4289796,33712010
2022-11-23,26216708,1525899,333760,4168662,30385370
2022-11-24,28495169,3092230,342910,4310379,32805548
2022-11-25,28232862,1499994,321300,4032315,32265177
2022-11-28,24373996,1120935,325388,4093381,28467377
2022-11-29,22059604,1746216,271988,3628320,25687924
2022-11-30,24184261,4273385,273388,3611455,27795716
2022-12-01,30847504,11173136,282488,3864436,34711940
2022-12-02,31079923,1561299,182568,2470145,33550068
2022-12-05,35886249,6984946,184780,2570290,38456539
2022-12-06,38923461,5840599,184480,2582720,41506181
2022-12-07,35459058,3789253,189180,2665546,38124604
2022-12-08,30896426,1981593,190580,2729106,33625532
2022-12-09,30848709,1401068,179980,2544917,33393626
2022-12-12,28316933,4382108,179380,2491588,30808521
2022-12-13,26613176,3244563,193130,2725064,29338240
2022-12-14,26100014,1827151,207630,2950422,29050436
2022-12-15,27792156,3338001,205200,2887164,30679320
2022-12-16,27933172,1228468,280555,3953020,31886192
2022-12-19,26490318,1227551,309655,4298011,30788329
2022-12-20,25531698,601046,310105,4248439,29780137
2022-12-21,24073599,888119,327105,4553302,28626901
2022-12-22,26222087,7280163,366355,5345119,31567206
2022-12-23,27075638,2313131,391025,5552555,32628193
2022-12-26,27987291,3183120,387980,5404561,33391852
2022-12-27,30342847,7964367,365980,5218874,35561721
2022-12-28,29039407,2224210,386980,5448678,34488085
2022-12-29,28931387,1225348,410140,5754265,34685652
2022-12-30,30006502,1937026,386090,5416843,35423345
2023-01-03,30729160,2477967,375380,5394210,36123370
2023-01-04,30471616,4062010,410980,6074285,36545901
2023-01-05,29320923,6411842,360880,5514246,34835169
2023-01-06,30852913,3292474,343180,5147700,36000613
2023-01-09,31318703,5360116,337480,5345683,36664386
2023-01-10,29988343,8580926,334980,5316133,35304476
2023-01-11,25876824,6155267,368880,5754528,31631352
2023-01-12,28143276,5500034,419980,6450893,34594169
2023-01-13,26407405,3794365,367880,5772037,32179442
2023-01-16,24759865,6911175,328680,5120835,29880700
2023-01-17,25330804,2871761,324480,4980768,30311572
2023-01-18,27264011,3282627,328295,5013065,32277076
2023-01-19,23744713,4080748,307432,4795939,28540652
2023-01-20,23627961,4785954,276695,4338577,27966538
2023-01-30,26836046,9309266,303210,4836199,31672245
2023-01-31,31179068,9449242,363310,5609506,36788574
2023-02-01,31372383,6230375,377010,5854965,37227348
2023-02-02,35318724,9981956,339810,5205890,40524614
2023-02-03,40670018,13582940,346211,5110075,45780093
2023-02-06,44515109,8346454,364461,5259173,49774282
2023-02-07,39895933,5374353,428561,6376987,46272920
2023-02-08,46136623,8591380,413835,6066821,52203444
2023-02-09,38282834,6077864,417260,6196312,44479146
2023-02-10,37620243,4558804,423910,6375606,43995849
2023-02-13,32216240,6292475,418510,6524570,38740810
2023-02-14,31315629,3354118,368810,5738684,37054313
2023-02-15,29465230,3303380,299410,4697743,34162973
2023-02-16,24115388,2760945,361210,5613204,29728592
2023-02-17,26821502,5712243,350110,5332176,32153678
2023-02-20,30208717,6450988,347110,5362850,35571567
2023-02-21,31492030,3350810,353610,5516316,37008346
2023-02-22,32197371,4450460,357910,5597712,37795083
2023-02-23,46068757,19666151,277085,4516487,50585244
