symbol,name,ann_date,period,period_end,holders,holders_prev,holders_chg_pct,avg_hold_value
600861,北京人力,2016-04-30,20160331,2016-03-31,25109,26191,-4.131190103471,173991.00906886
600860,京城股份,2016-04-30,20160331,2016-03-31,25385,31444,-19.269176949498,116445.144770534
600859,王府井,2016-04-30,20160331,2016-03-31,33467,30609,9.337123068379,302824.308339558
600843,上工申贝,2016-04-30,20160331,2016-03-31,31506,31522,-0.050758200622,132568.22838507
600839,四川长虹,2016-04-30,20160331,2016-03-31,404218,397479,1.695435482126,45452.3351349025
600833,第一医药,2016-04-30,20160331,2016-03-31,22433,23971,-6.416086104042,164980.274449695
600830,香溢融通,2016-04-30,20160331,2016-03-31,46091,42889,7.4657837674,100837.944540366
600822,上海物贸,2016-04-30,20160331,2016-03-31,30298,38837,-21.986765198136,184619.72608621
600802,福建水泥,2016-04-30,20160331,2016-03-31,27916,27203,2.62103444473,111623.768253331
600792,云煤能源,2016-04-30,20160331,2016-03-31,44747,54145,-17.357096684828,118135.115739603
600787,中储股份,2016-04-30,20160331,2016-03-31,88426,89233,-0.904373942376,213447.321637754
600782,新钢股份,2016-04-30,20160331,2016-03-31,27210,28102,-3.174151305957,265272.370050717
600777,新潮能源,2016-04-30,20160331,2016-03-31,35513,40847,-13.05848654736,377064.026582097
600773,西藏城投,2016-04-30,20160331,2016-03-31,66139,65690,0.68351347237,163617.997836677
600757,长江传媒,2016-04-30,20160331,2016-03-31,46128,45270,1.895294897283,209957.70851847
600754,锦江酒店,2016-04-30,20160331,2016-03-31,45664,37710,21.092548395651,582137.836426945
600749,西藏旅游,2016-04-30,20160331,2016-03-31,24872,24882,-0.040189695362,179617.157052911
600748,上实发展,2016-04-30,20160331,2016-03-31,38448,41669,-7.729967121841,406684.814363296
600746,江苏索普,2016-04-30,20160331,2016-03-31,16444,16822,-2.247057424801,170875.986064218
600743,华远控股,2016-04-30,20160331,2016-03-31,73622,79854,-7.804242743006,133074.255281573
600742,富维股份,2016-04-30,20160331,2016-03-31,22109,24375,-9.29641025641,244922.838662988
