date,rz_balance,rz_buy,rq_volume,rq_balance,rzrq_balance
2020-09-21,161843433,181277465,522233,107057765.0,268901198.0
2020-09-22,134929438,83965619,423012,98566026.12,233495464.12
2020-09-23,166385246,98695112,445359,116523728.76,282908974.76
2020-09-24,144168362,48479916,427417,112838088.0,257006450.0
2020-09-25,156889210,55464097,436970,115556716.5,272445926.5
2020-09-28,152931298,37690267,412477,107239895.23,260171193.23
2020-09-29,157028780,59491171,377400,92840400.0,249869180.0
2020-09-30,144350209,33053468,353584,89810336.0,234160545.0
2020-10-09,161337467,52269838,351756,87235488.0,248572955.0
2020-10-12,191501347,71505299,399397,118860547.2,310361894.2
2020-10-13,199750135,72399471,409108,126414372.0,326164507.0
2020-10-14,220623516,54891106,400347,120516457.41,341139973.41
2020-10-15,201594346,42144543,353638,102912194.38,304506540.38
2020-10-16,210737248,31100726,96991,28308763.17,239046011.17
2020-10-19,205216052,14165590,71800,21043144.0,226259196.0
2020-10-20,196945937,22360213,69800,21582160.0,218528097.0
2020-10-21,181908145,10118102,74915,22755431.25,204663576.25
2020-10-22,157069932,15468962,74373,21865662.0,178935594.0
2020-10-23,138038159,20828369,74590,19471719.5,157509878.5
2020-10-26,133518133,8317568,81115,21307288.2,154825421.2
2020-10-27,132029270,12339049,77915,21028479.35,153057749.35
2020-10-28,132874229,9761806,79316,21446253.24,154320482.24
2020-10-29,129233772,20765018,76636,21726306.0,150960078.0
2020-10-30,117861457,20239827,80662,23762218.58,141623675.58
2020-11-02,147346494,49097631,77415,24383402.55,171729896.55
2020-11-03,149520399,26376342,87983,28418509.0,177938908.0
2020-11-04,165033336,42971702,92322,29152517.94,194185853.94
2020-11-05,163507281,36150680,99414,34484728.32,197992009.32
2020-11-06,158541930,32279045,102481,35560907.0,194102837.0
2020-11-09,181938902,58043303,124459,43559405.41,225498307.41
2020-11-10,179601772,30603522,108767,36665355.7,216267127.7
2020-11-11,159412020,19690716,110201,35693001.89,195105021.89
2020-11-12,157708513,34030186,119697,37589645.88,195298158.88
2020-11-13,152042193,26031291,100722,33025736.58,185067929.58
2020-11-16,151005409,25159930,103274,32624256.6,183629665.6
2020-11-17,152433812,32435099,90619,30093663.71,182527475.71
2020-11-18,157523357,25670592,89249,28449011.24,185972368.24
2020-11-19,157216937,15171910,85033,27429945.14,184646882.14
2020-11-20,155239338,12994889,81883,26851073.36,182090411.36
2020-11-23,156415200,20538976,89562,29385292.2,185800492.2
2020-11-24,136144453,45845012,110234,42033326.54,178177779.54
2020-11-25,135341697,23136691,111084,42545172.0,177886869.0
2020-11-26,138159444,22762766,112690,42217054.7,180376498.7
2020-11-27,128122648,24706512,116141,47838477.9,175961125.9
2020-11-30,127558628,24946502,103058,40089562.0,167648190.0
2020-12-01,116230528,17465950,105574,43665406.4,159895934.4
2020-12-02,117520083,15599282,101560,40918524.0,158438607.0
2020-12-03,120093770,23676908,98909,37384634.73,157478404.73
2020-12-04,100650303,9264794,92860,34937646.4,135587949.4
2020-12-07,100672276,17170714,87569,34038070.3,134710346.3
2020-12-08,96768563,16564422,90104,37031842.96,133800405.96
2020-12-09,97208632,16159762,90401,35802412.04,133011044.04
2020-12-10,96310787,18658572,97652,40330276.0,136641063.0
2020-12-11,101386491,22953391,84008,35879816.8,137266307.8
2020-12-14,112030592,27463097,81253,36155959.94,148186551.94
2020-12-15,96840317,19325016,78489,33282475.56,130122792.56
2020-12-16,101937792,16429527,81100,36032730.0,137970522.0
2020-12-17,120500151,32865639,81235,35969233.3,156469384.3
2020-12-18,114254016,15513880,75250,32207000.0,146461016.0
2020-12-21,111695264,23666731,79172,33600596.8,145295860.8
2020-12-22,111198966,14634737,74690,32268320.7,143467286.7
2020-12-23,111657752,13510140,73808,31728583.04,143386335.04
2020-12-24,109703117,17141341,73619,29447600.0,139150717.0
2020-12-25,121957477,27646180,70662,26978751.6,148936228.6
2020-12-28,110564609,28532650,68217,26944350.66,137508959.66
2020-12-29,95178027,9648374,65642,26061186.84,121239213.84
2020-12-30,99373759,14791168,67421,27305505.0,126679264.0
2021-01-04,116072647,45361762,63416,25431084.32,141503731.32
2021-01-05,112826003,21853991,76217,31934923.0,144760926.0
2021-01-06,104849097,17099588,82907,34495115.49,139344212.49
2021-01-07,97138004,8886421,78764,31850586.32,128988590.32
2021-01-08,91323175,9358886,72706,28137222.0,119460397.0
2021-01-11,89031976,9566035,76651,30430447.0,119462423.0
2021-01-12,94308181,16212923,74169,30875071.32,125183252.32
2021-01-13,96813305,13703871,74899,29884701.0,126698006.0
2021-01-14,98506717,19435612,76450,33561550.0,132068267.0
2021-01-15,100342422,23635548,74852,34273982.28,134616404.28
2021-01-18,129402540,50149919,85574,44409483.04,173812023.04
2021-01-19,138484848,32605712,89883,46739160.0,185224008.0
2021-01-20,127962762,14362577,90902,50723316.0,178686078.0
2021-01-21,166070061,61603232,93393,50432220.0,216502281.0
2021-01-22,165041781,12348796,88300,47770300.0,212812081.0
2021-01-25,214912607,78127584,95200,49890512.0,264803119.0
2021-01-26,216002977,17919365,97627,50843165.33,266846142.33
2021-01-27,218696297,21476060,97259,51263273.72,269959570.72
2021-01-28,212086616,11111404,97924,48275552.76,260362168.76
2021-01-29,216212154,18138532,95152,47062179.2,263274333.2
2021-02-01,215486825,7072397,86799,43208542.2,258695367.2
2021-02-02,215578395,11782381,85314,43540853.04,259119248.04
2021-02-03,212622797,9588154,91521,45183917.7,257806714.7
2021-02-04,218342694,22540846,91080,47565619.2,265908313.2
2021-02-05,219001020,14753941,92897,44353672.65,263354692.65
2021-02-08,200059367,13137659,86736,45892017.6,245951384.6
2021-02-09,194197431,23115546,84055,49391558.55,243588989.55
2021-02-10,190082753,12924378,74181,43989333.0,234072086.0
2021-02-18,191998643,19605583,88020,51423044.4,243421687.4
2021-02-19,192846567,14999307,114620,64760300.0,257606867.0
2021-02-22,193132205,16432482,118052,60100273.2,253232478.2
2021-02-23,204264314,24851638,121616,58254064.0,262518378.0
2021-02-24,210260194,17422992,117880,55578062.4,265838256.4
2021-02-25,208668005,9636265,126891,59004315.0,267672320.0
2021-02-26,208991131,12483433,128703,55441391.31,264432522.31
2021-03-01,208552315,7082129,110867,50002125.67,258554440.67
2021-03-02,210177709,15999509,115782,55571886.54,265749595.54
2021-03-03,196987993,9088546,103928,49924932.64,246912925.64
2021-03-04,159697231,9611395,92383,41701686.2,201398917.2
2021-03-05,145257111,7909178,89620,38948852.0,184205963.0
2021-03-08,138639323,11780840,90258,34298040.0,172937363.0
2021-03-09,115563553,13784055,86781,33757809.0,149321362.0
2021-03-10,110426192,4777333,82433,33631839.67,144058031.67
2021-03-11,107615825,6381269,84430,35457222.8,143073047.8
2021-03-12,103071540,3357086,88593,36456905.43,139528445.43
2021-03-15,102048446,3553958,92876,36574568.8,138623014.8
2021-03-16,95007316,1370998,93869,37076377.62,132083693.62
2021-03-17,94761499,1409093,91443,36851529.0,131613028.0
2021-03-18,95477712,5351453,111222,42977293.02,138455005.02
2021-03-19,94549588,2497514,168938,62675998.0,157225586.0
2021-03-22,95308462,5791190,127089,46641663.0,141950125.0
2021-03-23,92631565,4168084,120143,42770908.0,135402473.0
2021-03-24,93440905,6234941,97220,32131210.0,125572115.0
2021-03-25,102643767,20313171,96916,34610641.92,137254408.92
2021-03-26,106965601,6484309,90101,33022016.5,139987617.5
2021-03-29,81833263,5276781,85817,30432424.54,112265687.54
2021-03-30,82528257,2966396,84404,30258834.0,112787091.0
2021-03-31,82383848,3845882,87513,31574690.4,113958538.4
2021-04-01,83035986,10181866,97851,39140400.0,122176386.0
2021-04-02,86964764,18973813,93594,39917841.0,126882605.0
2021-04-06,91196834,12865325,91225,39203943.75,130400777.75
2021-04-07,81044708,5743561,89360,37533880.8,118578588.8
2021-04-08,83867927,7943192,92820,39091143.0,122959070.0
2021-04-09,81808961,4121589,81991,34544448.12,116353409.12
2021-04-12,79136617,6249767,91624,38029457.44,117166074.44
2021-04-13,82415928,7148500,82003,33205474.79,115621402.79
2021-04-14,82253736,9184405,88337,36262338.5,118516074.5
2021-04-15,83723359,7437661,93143,38206327.17,121929686.17
2021-04-16,82670585,3455888,87360,34943126.4,117613711.4
2021-04-19,84557887,10875108,89552,35716919.68,120274806.68
2021-04-20,80984152,9548181,87284,34389896.0,115374048.0
2021-04-21,83214890,6438758,85882,33792849.36,117007739.36
2021-04-22,82971323,8614561,82263,33023658.72,115994981.72
2021-04-23,86711737,12345741,84517,34888617.6,121600354.6
2021-04-26,94648079,20179824,85367,36434635.6,131082714.6
2021-04-27,91496029,7628086,83583,34626765.24,126122794.24
2021-04-28,97641525,26514278,80442,31523610.96,129165135.96
2021-04-29,99691800,10147736,78709,31134919.13,130826719.13
2021-04-30,100749575,9986200,69028,28833685.88,129583260.88
2021-05-06,98176877,12234244,74885,30478195.0,128655072.0
2021-05-07,93364616,6768000,101599,37594677.97,130959293.97
2021-05-10,93550344,4432226,105793,37609411.5,131159755.5
2021-05-11,93252687,8601643,101479,35421244.95,128673931.95
2021-05-12,93682438,6010475,103813,37850219.8,131532657.8
2021-05-13,94162066,3897283,100630,36035603.0,130197669.0
2021-05-14,86113512,10873893,99336,36805974.72,122919486.72
2021-05-17,79933695,5003355,104730,41879432.4,121813127.4
2021-05-18,84653108,7996786,104643,40912273.71,125565381.71
2021-05-19,78022787,5176644,99947,40378588.0,118401375.0
2021-05-20,76863302,4155791,102723,42427680.69,119290982.69
2021-05-21,72993866,3796187,104640,43368048.0,116361914.0
2021-05-24,72746970,5091971,102489,43967781.0,116714751.0
2021-05-25,79126964,16132796,104626,50010181.74,129137145.74
2021-05-26,80907725,7708656,103621,49354682.3,130262407.3
2021-05-27,122831269,52233180,110219,57173901.87,180005170.87
2021-05-28,103634785,14752065,115461,55854258.75,159489043.75
2021-05-31,103205694,20431642,124313,66348334.36,169554028.36
2021-06-01,98627533,5993022,126565,67180702.0,165808235.0
2021-06-02,101254409,7788770,120237,61681581.0,162935990.0
2021-06-03,100844912,3982672,115909,58702113.05,159547025.05
2021-06-04,100902098,7422748,117410,61157694.9,162059792.9
2021-06-07,104921297,8350556,113547,58984260.09,163905557.09
2021-06-08,97321468,7584240,115956,57990755.16,155312223.16
2021-06-09,99071530,5226568,111847,56508459.81,155579989.81
2021-06-10,99362337,6551998,115368,61146193.68,160508530.68
2021-06-11,98360714,5493940,104619,54401880.0,152762594.0
2021-06-15,96341849,5585214,108375,57005250.0,153347099.0
2021-06-16,97715325,11799513,106395,55244539.8,152959864.8
2021-06-17,109339443,27124066,110536,61085509.68,170424952.68
2021-06-18,148670511,51116726,111631,62522290.48,211192801.48
2021-06-21,183156103,44136161,112875,63545238.75,246701341.75
2021-06-22,232078713,61959596,111660,60352230.0,292430943.0
2021-06-23,279199761,55904154,110048,59425920.0,338625681.0
2021-06-24,294407578,49102563,109475,54738594.75,349146172.75
2021-06-25,290205608,6211312,108621,54961139.79,345166747.79
2021-06-28,325870475,57166800,106141,55437444.3,381307919.3
2021-06-29,316463243,17059063,107593,55569632.64,372032875.64
2021-07-01,357414191,41647353,108518,59264935.34,416679126.34
2021-07-02,351279487,11582944,106406,55861021.88,407140508.88
2021-07-05,340974602,8384002,108510,62827290.0,403801892.0
2021-07-06,348812431,24034640,111154,66914708.0,415727139.0
2021-07-07,351219768,14435599,119179,76632097.0,427851865.0
2021-07-08,350504415,15455771,124463,86183159.72,436687574.72
2021-07-09,359430540,31953172,124204,83676234.8,443106774.8
2021-07-12,372627614,31411050,130727,82597240.41,455224854.41
2021-07-13,359291852,26394208,131164,75957072.4,435248924.4
2021-07-14,344744448,13173826,130004,73215652.72,417960100.72
2021-07-15,341413462,10743472,127280,73455833.6,414869295.6
2021-07-16,341026928,12646980,126640,67880306.4,408907234.4
2021-07-19,327136591,8437304,124582,71735561.42,398872152.42
2021-07-20,323740517,5227571,120116,71228788.0,394969305.0
2021-07-21,326146276,15557239,130144,78888087.04,405034363.04
2021-07-22,325047068,9517757,123251,74808426.96,399855494.96
2021-07-23,328025026,16267565,131735,79527102.15,407552128.15
2021-07-26,329234041,14046245,137365,80907985.0,410142026.0
2021-07-27,323347088,19226039,153259,91802141.0,415149229.0
2021-07-28,324382624,14003082,145948,84953411.84,409336035.84
2021-07-29,331098327,23170731,152344,99718288.64,430816615.64
2021-07-30,330059856,29044819,148278,98177829.36,428237685.36
2021-08-02,346720131,34540705,148197,88765557.09,435485688.09
2021-08-03,364394437,40181793,130192,69349372.64,433743809.64
2021-08-04,372066448,22157530,133530,75445785.3,447512233.3
2021-08-05,343600624,35545142,137745,93392487.45,436993111.45
2021-08-06,326202694,25769699,147827,103608987.76,429811681.76
2021-08-09,322344225,18675335,145516,96916566.32,419260791.32
2021-08-10,318055473,18995349,147519,91758293.19,409813766.19
2021-08-11,323280712,12454214,146827,89125457.27,412406169.27
