date,rz_balance,rz_buy,rq_volume,rq_balance,rzrq_balance
2016-01-04,547618283,34181710,129294,2753962.2,550372245.2
2016-01-05,555117685,32600192,104094,2209915.62,557327600.62
2016-01-06,566324382,45084993,113194,2437066.82,568761448.82
2016-01-07,568022162,12253376,103894,2070607.42,570092769.42
2016-01-08,556019387,28987023,98894,1981835.76,558001222.76
2016-01-11,542396665,28159842,88794,1663999.56,544060664.56
2016-01-12,544846389,20813313,94494,1802945.52,546649334.52
2016-01-13,523532984,9102863,95394,1806762.36,525339746.36
2016-01-14,522933278,21648525,94394,1823692.08,524756970.08
2016-01-15,516677104,13225721,87594,1652022.84,518329126.84
2016-01-18,501888113,12496188,91494,1720087.2,503608200.2
2016-01-19,510667420,22713826,90794,1747784.5,512415204.5
2016-01-20,519671062,25945146,86894,1631000.38,521302062.38
2016-01-21,508722693,14249527,91294,1658811.98,510381504.98
2016-01-22,502124486,9677515,88994,1663297.86,503787783.86
2016-01-25,501515266,10345717,79894,1503605.08,503018871.08
2016-01-26,488265523,9411519,88094,1599787.04,489865310.04
2016-01-27,481605239,8679298,87394,1598436.26,483203675.26
2016-01-28,483078021,12557596,86694,1586500.2,484664521.2
2016-01-29,482370639,11863188,85994,1606367.92,483977006.92
2016-02-01,474493133,17980069,44594,797786.66,475290919.66
2016-02-02,477810032,20159664,43994,823127.74,478633159.74
2016-02-03,475738043,15245259,44594,843272.54,476581315.54
2016-02-04,466661077,8578870,44294,851330.68,467512407.68
2016-02-05,459133439,8535542,34594,665934.5,459799373.5
2016-02-15,460568237,17632135,39194,770162.1,461338399.1
2016-02-16,451878044,13959540,44594,891880.0,452769924.0
2016-02-17,462325246,24767349,42094,834724.02,463159970.02
2016-02-18,463731020,23746485,39094,762333.0,464493353.0
2016-02-19,470956873,20026094,34994,678183.72,471635056.72
2016-02-22,503171560,51165028,43143,849054.24,504020614.24
2016-02-23,520086499,39068193,43143,833954.19,520920453.19
2016-02-24,525554026,32936509,39643,784534.97,526338560.97
2016-02-25,502267184,33204250,44543,840080.98,503107264.98
2016-02-26,492530243,10519918,44543,852998.45,493383241.45
2016-02-29,487655641,17857622,46843,885332.7,488540973.7
2016-03-01,484454858,21275267,52843,989220.96,485444078.96
2016-03-02,470834776,24895016,64043,1259085.38,472093861.38
2016-03-03,466513105,19748498,63843,1253876.52,467766981.52
2016-03-04,451405411,16521137,61943,1227710.26,452633121.26
2016-03-07,456154323,16775064,61943,1225232.54,457379555.54
2016-03-08,447081294,15243595,62343,1235014.83,448316308.83
2016-03-09,436459509,5918721,62743,1246075.98,437705584.98
2016-03-10,435271221,11544555,62743,1212822.19,436484043.19
2016-03-11,442083509,14222586,63743,1228965.04,443312474.04
2016-03-14,435942993,12498411,63743,1242988.5,437185981.5
2016-03-15,438529532,14883308,63743,1247450.51,439776982.51
2016-03-16,418746185,7478891,61443,1216571.4,419962756.4
2016-03-17,419987837,19097214,63743,1273585.14,421261422.14
2016-03-18,433519065,34402488,64043,1285983.44,434805048.44
2016-03-21,450124318,43731609,62943,1269560.31,451393878.31
2016-03-22,456465530,31106783,63243,1286362.62,457751892.62
2016-03-23,496923257,57201847,60443,1205233.42,498128490.42
2016-03-24,528800075,56631468,60343,1192981.11,529993056.11
2016-03-25,516117364,20890103,60343,1191170.82,517308534.82
2016-03-28,520486983,24602040,60343,1182722.8,521669705.8
2016-03-29,515258466,17094214,60343,1168843.91,516427309.91
2016-03-30,545328147,61102537,61043,1187286.35,546515433.35
2016-03-31,554378327,39180082,61043,1183013.34,555561340.34
2016-04-01,565528113,36899582,61043,1184234.2,566712347.2
2016-04-05,645730117,147501553,61043,1241004.19,646971121.19
2016-04-06,675493797,114467952,61043,1265421.39,676759218.39
2016-04-07,718016264,111536523,61043,1247108.49,719263372.49
2016-04-08,740575533,72390271,63943,1291648.6,741867181.6
2016-04-11,753489658,70376175,63943,1299321.76,754788979.76
2016-04-12,781189721,61345849,63943,1278860.0,782468581.0
2016-04-13,785326176,99342320,63943,1287812.02,786613988.02
2016-04-14,794484486,48543971,63343,1273194.3,795757680.3
2016-04-15,800070035,38377796,63343,1272560.87,801342595.87
2016-04-18,778709413,36356594,63343,1265593.14,779975006.14
2016-04-19,776572711,37580744,63943,1285254.3,777857965.3
2016-04-20,743997058,43666408,62943,1243753.68,745240811.68
2016-04-21,745397875,32884883,63943,1252643.37,746650518.37
2016-04-22,718714858,18076968,63943,1271186.84,719986044.84
2016-04-25,712101906,28524158,62243,1257308.6,713359214.6
2016-04-26,711115034,23507494,62243,1254196.45,712369230.45
2016-04-27,701032296,27411756,63943,1289090.88,702321386.88
2016-04-28,677414279,16033784,62243,1261665.61,678675944.61
2016-04-29,627124674,21029690,63943,1311470.93,628436144.93
2016-05-03,602664164,21207788,63943,1326817.25,603990981.25
2016-05-04,600221342,19149647,63943,1319783.52,601541125.52
2016-05-05,592345884,38776578,63943,1335129.84,593681013.84
2016-05-06,569496838,44588610,63943,1335129.84,570831967.84
2016-05-09,562476617,17990881,63943,1327456.68,563804073.68
2016-05-10,559088791,23723516,63943,1303158.34,560391949.34
2016-05-11,566507890,43946930,58343,1218201.84,567726091.84
2016-05-12,552882527,35944030,55743,1196244.78,554078771.78
2016-05-13,553401493,43409599,58343,1249707.06,554651200.06
2016-05-16,560466101,43050216,55743,1205163.66,561671264.66
2016-05-17,563801515,35590018,55743,1204048.8,565005563.8
2016-05-18,570345118,31245173,58243,1260960.95,571606078.95
2016-05-19,574169930,46112393,58343,1273627.69,575443557.69
2016-05-20,568042940,56031581,55743,1215754.83,569258694.83
2016-05-23,538712758,33305130,57843,1131987.51,539844745.51
2016-05-24,527921568,26112823,56643,1093776.33,529015344.33
2016-05-25,520815845,13488350,54843,1048598.16,521864443.16
2016-05-26,516575656,15124979,57443,1097735.73,517673391.73
2016-05-27,512204599,11343233,58343,1116685.02,513321284.02
2016-05-30,515838021,13333930,58343,1119602.17,516957623.17
2016-05-31,500254629,15824705,58343,1143522.8,501398151.8
2016-06-01,509666684,27757678,57943,1129309.07,510795993.07
2016-06-02,516326966,18481006,55043,1070586.35,517397552.35
2016-06-03,510664553,18864442,56043,1097882.37,511762435.37
2016-06-06,506313366,14713052,56443,1114184.82,507427550.82
2016-06-07,489599483,16689755,57443,1135073.68,490734556.68
2016-06-08,471056812,8340462,57443,1136796.97,472193608.97
2016-06-13,468173917,23674224,57943,1129309.07,469303226.07
2016-06-14,474375554,20956026,51843,998496.18,475374050.18
2016-06-15,472079042,25502972,56443,1110233.81,473189275.81
2016-06-16,448560594,28357554,79943,1602057.72,450162651.72
2016-06-17,438776189,12076352,70443,1421539.74,440197728.74
2016-06-20,437109761,13210626,69943,1411449.74,438521210.74
2016-06-21,442357672,19696606,80383,1614894.47,443972566.47
2016-06-22,439853225,16465244,71343,1426860.0,441280085.0
2016-06-23,433205425,8084071,51043,1017797.42,434223222.42
