date,open,high,low,close,volume,amount,raw_open,raw_high,raw_low,raw_close,tradable,name,provisional
2019-07-22,53.89,70.07,38.42,56.0,137031.82,767378192.0,53.89,70.07,38.42,56.0,True,沃尔德,False
2019-07-23,45.11,55.58,44.8,52.19,73798.02,385151866.38,45.11,55.58,44.8,52.19,True,沃尔德,False
2019-07-24,53.59,70.33,53.1,70.33,114213.65,803264600.4499999,53.59,70.33,53.1,70.33,True,沃尔德,False
2019-07-25,68.0,82.1,62.23,73.93,127663.72,943817881.96,68.0,82.1,62.23,73.93,True,沃尔德,False
2019-07-26,70.12,79.5,68.24,73.9,102978.13,761008380.7,70.12,79.5,68.24,73.9,True,沃尔德,False
2019-07-29,79.5,88.68,76.5,88.68,54998.58,487727407.44000006,79.5,88.68,76.5,88.68,True,沃尔德,False
2019-07-30,95.0,105.9,85.26,91.72,125216.32,1148484087.04,95.0,105.9,85.26,91.72,True,沃尔德,False
2019-07-31,90.0,105.18,88.94,105.0,111908.69,1175041245.0,90.0,105.18,88.94,105.0,True,沃尔德,False
2019-08-01,105.7,126.0,102.02,126.0,100183.77,1262315502.0,105.7,126.0,102.02,126.0,True,沃尔德,False
2019-08-02,129.78,151.2,128.5,138.3,111536.35,1542547720.5000002,129.78,151.2,128.5,138.3,True,沃尔德,False
2019-08-05,139.0,148.88,127.22,142.4,95918.14,1365874313.6,139.0,148.88,127.22,142.4,True,沃尔德,False
2019-08-06,136.0,148.53,114.0,122.83,104517.72,1283791154.76,136.0,148.53,114.0,122.83,True,沃尔德,False
2019-08-07,128.0,137.0,124.5,129.26,86682.79,1120461743.54,128.0,137.0,124.5,129.26,True,沃尔德,False
2019-08-08,123.0,132.93,118.77,130.99,81994.45,1074045300.5500002,123.0,132.93,118.77,130.99,True,沃尔德,False
2019-08-09,130.03,148.8,126.08,135.0,103274.46,1394205210.0,130.03,148.8,126.08,135.0,True,沃尔德,False
2019-08-12,135.5,142.7,128.02,142.7,83140.74,1186418359.8,135.5,142.7,128.02,142.7,True,沃尔德,False
2019-08-13,143.88,158.88,142.63,156.0,102552.31,1599816036.0,143.88,158.88,142.63,156.0,True,沃尔德,False
2019-08-14,159.9,162.08,151.3,157.63,81352.9,1282365762.6999998,159.9,162.08,151.3,157.63,True,沃尔德,False
2019-08-15,152.0,159.88,150.1,152.6,62124.1,948013766.0,152.0,159.88,150.1,152.6,True,沃尔德,False
2019-08-16,154.01,154.99,146.1,146.48,62597.69,916930963.12,154.01,154.99,146.1,146.48,True,沃尔德,False
2019-08-19,143.0,144.99,134.21,134.83,66530.19,897026551.7700001,143.0,144.99,134.21,134.83,True,沃尔德,False
2019-08-20,135.77,142.56,132.68,139.1,60835.27,846218605.6999999,135.77,142.56,132.68,139.1,True,沃尔德,False
2019-08-21,136.01,142.8,134.18,142.3,68687.89,977428674.7,136.01,142.8,134.18,142.3,True,沃尔德,False
2019-08-22,141.8,143.48,128.32,128.32,62596.22,803234695.04,141.8,143.48,128.32,128.32,True,沃尔德,False
2019-08-23,125.0,128.32,105.05,113.9,81868.51,932482328.9,125.0,128.32,105.05,113.9,True,沃尔德,False
2019-08-26,113.0,118.6,109.3,114.05,49643.93,566189021.65,113.0,118.6,109.3,114.05,True,沃尔德,False
2019-08-27,114.09,117.5,112.6,115.17,37994.45,437582080.65,114.09,117.5,112.6,115.17,True,沃尔德,False
2019-08-28,114.0,114.38,106.1,108.31,51375.59,556449015.29,114.0,114.38,106.1,108.31,True,沃尔德,False
2019-08-29,106.5,108.15,99.9,106.4,54433.09,579168077.6,106.5,108.15,99.9,106.4,True,沃尔德,False
2019-08-30,105.52,112.0,102.66,108.88,59144.76,643968146.88,105.52,112.0,102.66,108.88,True,沃尔德,False
2019-09-02,108.0,108.85,105.2,106.3,31451.63,334330826.9,108.0,108.85,105.2,106.3,True,沃尔德,False
2019-09-03,105.06,123.5,104.42,121.5,76381.12,928030608.0,105.06,123.5,104.42,121.5,True,沃尔德,False
2019-09-04,119.5,127.0,118.16,120.0,66307.88,795694560.0,119.5,127.0,118.16,120.0,True,沃尔德,False
