date,open,high,low,close,volume,amount,raw_open,raw_high,raw_low,raw_close,tradable,name,provisional
2016-01-04,50.718,50.8,45.561,45.603,362933.0,399589233.0,12.25,12.27,11.0,11.01,True,TCL中环,False
2016-01-05,43.375,45.273,41.56,43.911,476633.0,505230980.0,10.47,10.93,10.03,10.6,True,TCL中环,False
2016-01-06,44.489,45.396,44.035,45.149,295241.0,321812690.0,10.74,10.96,10.63,10.9,True,TCL中环,False
2016-01-07,44.118,44.159,40.653,40.694,129214.0,126888148.0,10.65,10.66,9.81,9.82,True,TCL中环,False
2016-01-08,42.096,42.591,37.848,40.9,442559.0,436805733.0,10.16,10.28,9.13,9.87,True,TCL中环,False
2016-01-11,40.034,40.446,36.816,36.816,472378.0,419471664.00000006,9.66,9.76,8.88,8.88,True,TCL中环,False
2016-01-12,37.518,37.93,36.28,37.229,401901.0,360907098.0,9.05,9.15,8.75,8.98,True,TCL中环,False
2016-01-13,37.641,38.013,36.239,36.486,321463.0,282887440.0,9.08,9.17,8.74,8.8,True,TCL中环,False
2016-01-14,35.001,37.93,34.754,37.806,428170.0,390491040.0,8.44,9.15,8.38,9.12,True,TCL中环,False
2016-01-15,37.518,37.806,34.96,35.331,369607.0,314905164.0,9.05,9.12,8.43,8.52,True,TCL中环,False
2016-01-18,34.836,36.981,33.929,36.28,310093.0,271331375.0,8.4,8.92,8.18,8.75,True,TCL中环,False
2016-01-19,36.321,38.301,36.156,38.013,391773.0,359255841.0,8.76,9.24,8.72,9.17,True,TCL中环,False
2016-01-20,37.93,38.466,37.023,37.311,363574.0,327216600.0,9.15,9.28,8.93,9.0,True,TCL中环,False
2016-01-21,36.734,38.384,36.486,36.61,396386.0,350008838.0,8.86,9.26,8.8,8.83,True,TCL中环,False
2016-01-22,37.229,38.219,35.991,38.219,404138.0,372615236.0,8.98,9.22,8.68,9.22,True,TCL中环,False
2016-01-25,38.549,39.126,37.848,38.343,420017.0,388515725.0,9.3,9.44,9.13,9.25,True,TCL中环,False
2016-01-26,37.765,37.93,34.548,34.548,494274.0,411730242.0,9.11,9.15,8.33,8.33,True,TCL中环,False
2016-01-27,34.836,35.043,32.32,34.011,407194.0,333899080.0,8.4,8.45,7.79,8.2,True,TCL中环,False
2016-01-28,33.558,34.259,31.949,32.196,336725.0,261298600.0,8.09,8.26,7.7,7.76,True,TCL中环,False
2016-01-29,32.196,34.424,32.031,33.846,312998.0,255406368.0,7.76,8.3,7.72,8.16,True,TCL中环,False
2016-02-01,33.888,34.424,32.98,33.681,270810.0,219897720.0,8.17,8.3,7.95,8.12,True,TCL中环,False
2016-02-02,33.764,35.125,33.723,34.836,288418.0,242271120.0,8.14,8.47,8.13,8.4,True,TCL中环,False
