date,open,high,low,close,volume,amount,raw_open,raw_high,raw_low,raw_close,tradable,name,provisional
2020-09-11,5.9,7.08,5.9,7.08,1463.0,1035804.0,5.9,7.08,5.9,7.08,True,立昂微,False
2020-09-14,7.79,7.79,7.79,7.79,459.0,357561.0,7.79,7.79,7.79,7.79,True,立昂微,False
2020-09-15,8.57,8.57,8.57,8.57,271.0,232247.0,8.57,8.57,8.57,8.57,True,立昂微,False
2020-09-16,9.43,9.43,9.43,9.43,407.0,383801.0,9.43,9.43,9.43,9.43,True,立昂微,False
2020-09-17,10.37,10.37,10.37,10.37,1073.0,1112701.0,10.37,10.37,10.37,10.37,True,立昂微,False
2020-09-18,11.41,11.41,11.41,11.41,624.0,711984.0,11.41,11.41,11.41,11.41,True,立昂微,False
2020-09-21,12.55,12.55,12.55,12.55,658.0,825790.0,12.55,12.55,12.55,12.55,True,立昂微,False
2020-09-22,13.81,13.81,13.81,13.81,881.0,1216661.0,13.81,13.81,13.81,13.81,True,立昂微,False
2020-09-23,15.19,15.19,15.19,15.19,1830.0,2779770.0,15.19,15.19,15.19,15.19,True,立昂微,False
2020-09-24,16.71,16.71,16.71,16.71,1722.0,2877462.0,16.71,16.71,16.71,16.71,True,立昂微,False
2020-09-25,18.38,18.38,18.38,18.38,1292.0,2374696.0,18.38,18.38,18.38,18.38,True,立昂微,False
2020-09-28,20.22,20.22,20.22,20.22,2123.0,4292706.0,20.22,20.22,20.22,20.22,True,立昂微,False
2020-09-29,22.24,22.24,22.24,22.24,2578.0,5733472.0,22.24,22.24,22.24,22.24,True,立昂微,False
2020-09-30,24.46,24.46,24.46,24.46,4791.0,11718786.0,24.46,24.46,24.46,24.46,True,立昂微,False
2020-10-09,26.91,26.91,26.91,26.91,11489.0,30916899.0,26.91,26.91,26.91,26.91,True,立昂微,False
2020-10-12,29.6,29.6,29.6,29.6,3367.0,9966320.0,29.6,29.6,29.6,29.6,True,立昂微,False
2020-10-13,32.56,32.56,32.56,32.56,1669.0,5434264.0,32.56,32.56,32.56,32.56,True,立昂微,False
2020-10-14,35.82,35.82,35.82,35.82,1141.0,4087062.0,35.82,35.82,35.82,35.82,True,立昂微,False
2020-10-15,39.4,39.4,39.4,39.4,1756.0,6918640.0,39.4,39.4,39.4,39.4,True,立昂微,False
2020-10-16,43.34,43.34,43.34,43.34,6553.0,28400702.000000004,43.34,43.34,43.34,43.34,True,立昂微,False
2020-10-19,47.67,47.67,47.67,47.67,31185.0,148658895.0,47.67,47.67,47.67,47.67,True,立昂微,False
2020-10-20,52.44,52.44,52.44,52.44,76915.0,403342260.0,52.44,52.44,52.44,52.44,True,立昂微,False
2020-10-21,55.0,57.68,54.68,57.68,262863.0,1516193784.0,55.0,57.68,54.68,57.68,True,立昂微,False
2020-10-22,53.87,54.99,51.91,54.98,146882.0,807557236.0,53.87,54.99,51.91,54.98,True,立昂微,False
2020-10-23,54.3,57.48,52.0,55.38,120205.0,665695290.0,54.3,57.48,52.0,55.38,True,立昂微,False
2020-10-26,54.0,60.5,53.0,59.0,107937.0,636828300.0,54.0,60.5,53.0,59.0,True,立昂微,False
2020-10-27,58.11,58.5,54.03,54.57,88810.0,484636170.0,58.11,58.5,54.03,54.57,True,立昂微,False
2020-10-28,55.37,55.55,52.11,55.1,53795.0,296410450.0,55.37,55.55,52.11,55.1,True,立昂微,False
2020-10-29,53.1,58.5,53.09,55.65,67656.0,376505640.0,53.1,58.5,53.09,55.65,True,立昂微,False
2020-10-30,55.89,57.28,53.0,53.0,58991.0,312652300.0,55.89,57.28,53.0,53.0,True,立昂微,False
2020-11-02,52.75,55.4,47.7,47.7,94937.0,452849490.0,52.75,55.4,47.7,47.7,True,立昂微,False
2020-11-03,47.59,52.47,46.53,52.47,71566.0,375506802.0,47.59,52.47,46.53,52.47,True,立昂微,False
2020-11-04,53.58,55.4,52.63,53.7,79057.0,424536090.0,53.58,55.4,52.63,53.7,True,立昂微,False
2020-11-05,54.9,59.07,52.35,57.9,109353.0,633153870.0,54.9,59.07,52.35,57.9,True,立昂微,False
2020-11-06,57.73,63.63,57.0,63.0,96830.0,610029000.0,57.73,63.63,57.0,63.0,True,立昂微,False
2020-11-09,64.5,69.3,64.3,69.3,36379.0,252106470.0,64.5,69.3,64.3,69.3,True,立昂微,False
2020-11-10,73.0,75.5,65.2,70.8,114055.0,807509400.0,73.0,75.5,65.2,70.8,True,立昂微,False
2020-11-11,68.68,70.6,65.65,66.34,65818.0,436636612.0,68.68,70.6,65.65,66.34,True,立昂微,False
2020-11-12,67.0,67.95,63.0,65.0,50149.0,325968500.0,67.0,67.95,63.0,65.0,True,立昂微,False
2020-11-13,64.28,71.5,63.3,71.1,98623.0,701209530.0,64.28,71.5,63.3,71.1,True,立昂微,False
2020-11-16,68.39,73.0,67.36,71.21,87887.0,625843327.0,68.39,73.0,67.36,71.21,True,立昂微,False
2020-11-17,70.56,75.48,65.95,75.38,93604.0,705586952.0,70.56,75.48,65.95,75.38,True,立昂微,False
2020-11-18,73.96,82.3,72.3,76.33,91857.0,701144481.0,73.96,82.3,72.3,76.33,True,立昂微,False
2020-11-19,73.0,80.0,72.0,72.09,87045.0,627507405.0,73.0,80.0,72.0,72.09,True,立昂微,False
2020-11-20,71.16,73.88,69.9,72.35,59142.0,427892370.0,71.16,73.88,69.9,72.35,True,立昂微,False
2020-11-23,70.25,73.99,69.42,71.19,54786.0,390021534.0,70.25,73.99,69.42,71.19,True,立昂微,False
2020-11-24,70.98,74.65,70.62,71.98,55473.0,399294654.0,70.98,74.65,70.62,71.98,True,立昂微,False
2020-11-25,70.9,75.36,70.1,73.74,73035.0,538560090.0,70.9,75.36,70.1,73.74,True,立昂微,False
2020-11-26,72.5,79.0,71.54,75.7,76198.0,576818860.0,72.5,79.0,71.54,75.7,True,立昂微,False
2020-11-27,75.1,83.27,73.81,83.27,100895.0,840152665.0,75.1,83.27,73.81,83.27,True,立昂微,False
2020-11-30,81.0,86.88,79.02,80.94,89648.0,725610912.0,81.0,86.88,79.02,80.94,True,立昂微,False
2020-12-01,79.5,81.96,79.03,80.33,51017.0,409819561.0,79.5,81.96,79.03,80.33,True,立昂微,False
2020-12-02,79.51,88.18,79.51,86.5,72002.0,622817300.0,79.51,88.18,79.51,86.5,True,立昂微,False
2020-12-03,85.96,95.15,84.88,95.15,84645.0,805397175.0,85.96,95.15,84.88,95.15,True,立昂微,False
2020-12-04,94.85,98.5,92.78,92.78,80504.0,746916112.0,94.85,98.5,92.78,92.78,True,立昂微,False
2020-12-07,95.86,96.86,90.12,90.8,67583.0,613653640.0,95.86,96.86,90.12,90.8,True,立昂微,False
2020-12-08,91.0,99.88,88.21,99.0,92749.0,918215100.0,91.0,99.88,88.21,99.0,True,立昂微,False
2020-12-09,96.66,104.1,96.2,99.63,80849.0,805498587.0,96.66,104.1,96.2,99.63,True,立昂微,False
2020-12-10,97.98,109.59,97.14,109.59,96043.0,1052535237.0,97.98,109.59,97.14,109.59,True,立昂微,False
2020-12-11,111.0,120.55,107.0,120.55,110855.0,1336357025.0,111.0,120.55,107.0,120.55,True,立昂微,False
2020-12-14,120.33,132.61,117.73,132.61,93937.0,1245698557.0000002,120.33,132.61,117.73,132.61,True,立昂微,False
2020-12-15,134.0,145.0,121.0,124.63,161299.0,2010269437.0,134.0,145.0,121.0,124.63,True,立昂微,False
2020-12-16,123.18,129.8,115.58,127.0,113298.0,1438884600.0,123.18,129.8,115.58,127.0,True,立昂微,False
2020-12-17,124.0,139.7,122.3,135.61,136194.0,1846926834.0,124.0,139.7,122.3,135.61,True,立昂微,False
2020-12-18,132.5,140.96,127.76,133.0,126076.0,1676810800.0,132.5,140.96,127.76,133.0,True,立昂微,False
2020-12-21,127.0,136.66,125.2,129.5,100077.0,1295997150.0,127.0,136.66,125.2,129.5,True,立昂微,False
2020-12-22,129.5,131.34,116.55,118.0,128248.0,1513326400.0,129.5,131.34,116.55,118.0,True,立昂微,False
2020-12-23,114.95,122.62,110.25,120.05,122205.0,1467071025.0,114.95,122.62,110.25,120.05,True,立昂微,False
2020-12-24,116.85,118.8,109.6,110.35,91777.0,1012759195.0,116.85,118.8,109.6,110.35,True,立昂微,False
2020-12-25,108.8,108.88,102.92,104.4,88503.0,923971320.0,108.8,108.88,102.92,104.4,True,立昂微,False
2020-12-28,103.73,109.4,102.8,105.37,83096.0,875582552.0,103.73,109.4,102.8,105.37,True,立昂微,False
2020-12-29,104.3,115.91,104.0,115.91,105882.0,1227278262.0,104.3,115.91,104.0,115.91,True,立昂微,False
