date,open,high,low,close,volume,amount,raw_open,raw_high,raw_low,raw_close,tradable,name,provisional
2023-09-15,55.0,62.88,54.97,55.08,196087.0,1080047196.0,55.0,62.88,54.97,55.08,True,斯菱智驱,False
2023-09-18,49.78,53.95,48.36,49.03,133947.0,656742141.0,49.78,53.95,48.36,49.03,True,斯菱智驱,False
2023-09-19,49.0,52.98,48.0,50.94,129223.0,658261962.0,49.0,52.98,48.0,50.94,True,斯菱智驱,False
2023-09-20,46.03,49.08,46.03,47.21,118154.0,557805034.0,46.03,49.08,46.03,47.21,True,斯菱智驱,False
2023-09-21,46.11,47.8,43.51,43.57,111372.0,485247804.0,46.11,47.8,43.51,43.57,True,斯菱智驱,False
2023-09-22,43.48,44.0,41.23,42.06,93225.0,392104350.0,43.48,44.0,41.23,42.06,True,斯菱智驱,False
2023-09-25,43.05,44.81,42.5,42.82,100992.0,432447744.0,43.05,44.81,42.5,42.82,True,斯菱智驱,False
2023-09-26,43.0,45.01,41.43,44.58,113518.0,506063244.0,43.0,45.01,41.43,44.58,True,斯菱智驱,False
2023-09-27,43.1,46.95,42.73,45.54,127728.0,581673312.0,43.1,46.95,42.73,45.54,True,斯菱智驱,False
2023-09-28,46.27,48.88,45.62,46.57,115670.0,538675190.0,46.27,48.88,45.62,46.57,True,斯菱智驱,False
2023-10-09,47.5,49.88,46.38,48.96,92209.0,451455264.0,47.5,49.88,46.38,48.96,True,斯菱智驱,False
2023-10-10,48.0,55.55,48.0,50.04,91687.0,458801748.0,48.0,55.55,48.0,50.04,True,斯菱智驱,False
2023-10-11,50.0,53.5,46.73,51.82,81660.0,423162120.0,50.0,53.5,46.73,51.82,True,斯菱智驱,False
2023-10-12,50.19,51.77,48.58,50.3,49318.0,248069540.0,50.19,51.77,48.58,50.3,True,斯菱智驱,False
2023-10-13,49.67,53.29,49.29,50.49,45102.0,227719998.0,49.67,53.29,49.29,50.49,True,斯菱智驱,False
2023-10-16,49.71,50.69,48.29,49.26,30932.0,152371032.0,49.71,50.69,48.29,49.26,True,斯菱智驱,False
2023-10-17,49.5,49.99,46.72,49.7,40962.0,203581140.0,49.5,49.99,46.72,49.7,True,斯菱智驱,False
2023-10-18,48.99,49.18,47.67,47.92,24904.0,119339968.0,48.99,49.18,47.67,47.92,True,斯菱智驱,False
2023-10-19,48.02,48.5,46.01,46.32,20594.0,95391408.0,48.02,48.5,46.01,46.32,True,斯菱智驱,False
2023-10-20,46.46,49.8,46.32,47.02,26324.0,123775448.0,46.46,49.8,46.32,47.02,True,斯菱智驱,False
2023-10-23,45.5,47.51,44.51,44.86,20806.0,93335716.0,45.5,47.51,44.51,44.86,True,斯菱智驱,False
2023-10-24,44.45,46.39,44.18,45.76,17874.0,81791424.0,44.45,46.39,44.18,45.76,True,斯菱智驱,False
2023-10-25,46.15,49.0,46.08,47.4,27376.0,129762240.0,46.15,49.0,46.08,47.4,True,斯菱智驱,False
