date,股东户数_筹码集中,股东户数_筹码分散,波动倾斜反转_w0.5,波动倾斜反转_w0.3,【对照】价格反转20,【对照】价格反转60
2021-01-04,0.0,-0.007237881617925257,0.007581400620013823,0.022822505692131602,0.007985790529288517,0.0001628659235640706
2021-01-05,0.0,-0.006597673408090576,0.0008715387642532324,0.00809974030750953,-0.0069791447158870645,-0.012022650709782711
2021-01-06,0.0,-4.441292036203581e-05,-0.01989671625326722,-0.027655274842799893,-0.01867985803951811,-0.03316980757043089
2021-01-07,0.0,-0.006901198446268043,-0.021377915511901137,-0.028606718504419835,-0.03636519106903494,-0.047529610324899205
2021-01-08,0.0,-0.005390758109019456,-0.006047238527622822,-0.003688446820354907,0.004896466889584117,0.007833939244292687
2021-01-11,0.0,-0.007101717632159732,-0.016578201485179446,-0.017681178867577772,-0.025168435493353857,-0.03126243749146096
2021-01-12,0.0,-0.00022086414135072952,-0.0014636629928610034,-0.003996274935636579,-0.005040978178348643,0.0019892445627672562
2021-01-13,0.0,-0.007859339860092563,-0.012700630239173654,-0.019906108854947053,-0.018804363143909892,-0.01775171751278479
2021-01-14,0.0,-0.005228032916574199,-0.0060034134270878,-0.010477596443703885,0.0007945699728463373,0.006505541491622346
2021-01-15,0.0,0.00363273190625697,0.019831368791807646,0.035777755508360376,0.0343709903388459,0.04279010872343836
2021-01-18,0.0,0.002739642955515609,0.02022425134690451,0.033410925424851065,0.02406237018130305,0.017195390502708397
2021-01-19,0.0,0.005967014568765005,0.03933323162562319,0.04102490958090501,0.01986005242161921,0.016858338344295388
2021-01-20,0.0,-0.005774892774511908,0.02614789302994198,0.02086534357753374,0.012155900718604215,-0.00510437682842364
2021-01-21,0.0,0.0038054228976800884,0.014440169754818887,0.016099288775870135,0.003642437092776907,0.012207323844719809
2021-01-22,0.0,-0.008299482112048628,0.0023832557333511306,-0.0019775361181705088,-0.009502871387005719,-0.02066327501783245
2021-01-25,0.0,-0.01029464246269981,-0.011882229369914964,-0.005571575686481212,-0.01567885000946796,-0.034177335918614604
2021-01-26,0.0,-0.013677510377169522,-0.003191476795395376,-0.0044934494125567605,-0.011270858140506424,-0.017630045545110117
2021-01-27,0.0,0.0035557733352855835,0.005752775361784225,0.007289374270003787,0.0025678440381727615,-9.587601449191109e-05
2021-01-28,0.0,-0.0006007508091590563,-0.021446814638014865,-0.021446814638014865,0.009326466758349384,0.00472838854619716
2021-01-29,0.0,-0.0009053792904236025,-0.018560536221164402,-0.018560536221164402,-0.007779910130180834,-0.021702104682934698
2021-02-01,0.0,0.002694053884159597,-0.0046632967294373716,-0.0046632967294373716,-0.0007619479639914938,-0.017850932577156087
2021-02-02,0.0,0.007069240749103844,0.004169052191571543,0.004169052191571543,0.007772304204517166,0.015965981616947345
2021-02-03,0.0,-0.0022787591467588798,-0.029874702468608582,-0.031270844890149765,-0.030102592062261985,-0.016380868672077574
2021-02-04,0.0,-0.009642542042146485,0.005412908703367081,1.9722705160907238e-05,-0.007684758514916045,-0.009492127888137369
