fold,oos,选中族,族等权OOS收益,选中参数,挑参数OOS收益
0,2020-01-05~2021-01-04,margin_reversal,0.35194666396697394,"margin_reversal(k=10,n=10,rebal=20)",0.4416820025052517
1,2021-01-05~2022-01-05,margin_reversal,0.10481936722667706,"margin_reversal(k=10,n=10,rebal=20)",-0.021208802768487245
2,2022-01-06~2023-01-06,price_reversal_cs,-0.06933381173948683,"margin_reversal(k=10,n=20,rebal=10)",-0.020930673185124427
3,2023-01-07~2024-01-07,price_reversal_cs,-0.04841239580939105,"margin_plus_reversal(k=10,n=5,rebal=20)",-0.2079910618168348
4,2024-01-08~2025-01-07,margin_reversal,0.11034804520717345,"margin_reversal(k=10,n=20,rebal=10)",0.32451790742686826
5,2025-01-08~2026-01-08,short_squeeze,0.4033625615112717,"short_squeeze(k=5,n=60,rebal=5)",0.19947067877017277
6,2026-01-09~2026-07-31,short_squeeze,0.11280383853035003,"margin_momentum(k=5,n=5,rebal=20)",-0.03838722386160076
