date,wfa_oos,benchmark
2020-01-06,-0.0021011749550720513,-0.0037780822975371775
2020-01-07,0.0020748820209638527,0.007490373671082073
2020-01-08,-0.00227840001017194,-0.011516190210637323
2020-01-09,0.004518951984065511,0.012657088942494843
2020-01-10,-2.010127610731179e-05,-0.00028335618592978395
2020-01-13,0.002060265055062111,0.00980017726791238
2020-01-14,-0.0005295374268383853,-0.0033539565983742303
2020-01-15,0.0006196093474323557,-0.005527591416481292
2020-01-16,-8.483094885382927e-05,-0.004245535467860773
2020-01-17,0.0014379220456179436,0.0014003239303550519
2020-01-20,0.0054531300851724624,0.007456346197816988
2020-01-21,-0.0057589526541115925,-0.01708621707044944
2020-01-22,0.002630006845696134,0.004282613609572383
2020-01-23,-0.01570116896131486,-0.030985520083834928
2020-02-03,-0.034228274165201265,-0.07880816204200902
2020-02-04,0.014615251392222516,0.02637486579401127
2020-02-05,0.009484459253082132,0.011329656280047784
2020-02-06,0.014088662671912694,0.01861027600671794
2020-02-07,0.0029192876722720835,2.3078224925532353e-05
2020-02-10,0.006824510379304903,0.004138599491777972
2020-02-11,0.0029777039957228405,0.009307943544577313
2020-02-12,0.0029597345276139828,0.008088633408054768
2020-02-13,-0.003093475689742523,-0.006151444497707215
2020-02-14,0.001067912382899404,0.007022869148871624
2020-02-17,0.009730069801147549,0.022491492653715195
2020-02-18,-0.000109039785898506,-0.004882989733704157
2020-02-19,-0.0006953255118674431,-0.0015280307380635128
2020-02-20,0.0021218853588477176,0.023041929647447335
2020-02-21,-0.0004182320973096108,0.0011653549386438922
2020-02-24,3.950724881493795e-05,-0.004012541300256078
2020-02-25,-0.002839281553987208,-0.002175259627761994
2020-02-26,-0.0006597641842244076,-0.012325860542939382
2020-02-27,0.003122175332437714,0.0029118442826208124
2020-02-28,-0.016925871011459818,-0.03545514188911303
2020-03-02,0.007854273071824737,0.0328980596692936
2020-03-03,0.00918372135901708,0.0053296704646814685
2020-03-04,-0.0007893101375378197,0.005790250674592379
2020-03-05,0.010674394292392413,0.022279194663491264
2020-03-06,-0.0025072842089235796,-0.016216871536799182
2020-03-09,-0.01977264290969898,-0.0341620534926822
2020-03-10,0.01854854306363327,0.021415365524763974
2020-03-11,-0.010121630938846332,-0.013299924315347877
2020-03-12,-0.007729942081207004,-0.019243228751647634
2020-03-13,-0.0013867740164071735,-0.01407270730034349
2020-03-16,-0.032298818460183586,-0.04299272715136915
