sim,sharpe,cagr,exposure
0,0.7586562236681731,0.15973577076520673,0.8643051771117166
1,0.7589326799381798,0.1590741740153121,0.8761775009731412
2,0.7926020445152886,0.1634658007263683,0.8848579213701828
3,0.3682111842388313,0.058434775858142496,0.8802257687816271
4,0.7160716799509877,0.14133126948590102,0.8662514597119502
5,0.6307180439646652,0.11866992431870105,0.8714674970805761
6,0.6248402192534261,0.12077148666459658,0.8799143635655897
7,0.6003953958491196,0.1186569841800631,0.8797586609575709
8,0.47121462069881814,0.08124312479507245,0.8455040871934605
9,0.7601991285645026,0.15789404656051698,0.8581159984429739
10,0.6780110633044967,0.13358003424484322,0.8655897236278708
11,0.6811603119225486,0.1383883822001608,0.8687427014402491
12,0.5023310886582647,0.09130124320808064,0.8866095757103931
13,0.6121574874520259,0.11530227906997159,0.858349552355002
14,0.7537883974584376,0.15476313326003188,0.8698715453483846
15,0.5563282901211045,0.10505908464788183,0.8825613079019072
16,0.3841528765709135,0.06236008251030145,0.8739198131568704
17,0.20189521563104362,0.020429634954451714,0.8609964966913196
18,0.6742381626024821,0.13285348799221208,0.8839237057220709
19,0.4085457787695099,0.06622569488759988,0.8618139353834178
20,0.5604373323541832,0.10363557469057971,0.8521603736862593
21,0.5611145964145638,0.10285506979625492,0.867224601012067
22,0.5523480461764818,0.10753574278760736,0.8882833787465939
23,0.5675278401238871,0.10727654410056275,0.8685869988322305
24,0.6569768672692656,0.13001709629295477,0.8692487349163098
25,0.673866299036729,0.1361851192607928,0.8652393927598288
26,0.7061339000679845,0.1398303561044998,0.8648112105877773
27,0.6509214340507563,0.1279459790177182,0.8579213701829506
28,0.3595929736245614,0.05710598860396621,0.8857921370182951
29,0.4416622937350924,0.07628675444144295,0.8637212923316465
30,0.48714562856639665,0.08916476841290377,0.8774231218372908
31,0.5486295804102763,0.10319432782136895,0.8703775788244453
32,0.728058056772403,0.15045898503913802,0.8789801479174777
33,0.49680707018380715,0.08725956956275893,0.8897236278707668
34,0.7170237268563125,0.14216788922987122,0.8710003892565201
35,0.6477999417838037,0.12722834935223082,0.8770338653172441
36,0.7389529773464356,0.1550420896715814,0.8838069287660568
37,0.4243047746456674,0.07544352558467149,0.882600233553912
38,0.6927120293349482,0.13835436694338266,0.8752432853250293
39,0.5249722024805862,0.09720256129436455,0.8375632541845077
40,0.776351603193074,0.16235823294221574,0.8572985597508758
41,0.35781640366598266,0.05639813644165681,0.8724795640326976
42,0.9135361839040763,0.20274778748508382,0.8765278318411834
43,0.7419659669922193,0.14920287309782876,0.8811989100817439
44,0.7726243690013308,0.16284228719845073,0.8841572596340989
45,0.5558473941581744,0.10500468003574714,0.8750486570650059
46,0.34475504309077476,0.05292088263638495,0.8706111327364733
47,0.29717111057793294,0.0421029960454018,0.8816270922537953
48,0.6249787974804415,0.12138695662732424,0.8837680031140522
49,0.6662243696837705,0.1295804623815633,0.8847800700661737
50,0.6393568133111798,0.12408171248830802,0.8871156091864538
51,0.35103514120610335,0.05421659333320594,0.8777345270533281
52,0.4942354646713472,0.08612163929426297,0.8814713896457766
53,0.7206128125784941,0.14764362221414506,0.8789022966134683
54,0.7876662315488967,0.16787803907092802,0.8557026080186843
55,0.38919028298595953,0.06435155604630549,0.8623588945114831
56,0.7477937841543988,0.14878499820611046,0.8653950953678475
57,0.4391011189112304,0.07651440778652763,0.876216426625146
58,0.5568148890306639,0.1030223843887974,0.8617360840794083
59,0.9036742905609557,0.19522512212669318,0.8681977423121838
60,0.40306742892109776,0.0664337743952319,0.8664850136239781
61,0.7443249363874356,0.15228916511818502,0.8677306344881277
62,0.49559937919397473,0.09253049569759697,0.8968470221876217
63,0.5156759185221474,0.09583751263495932,0.8835344492020241
64,0.7853171485876989,0.15974495923216003,0.8613468275593616
65,0.5792086024302293,0.10940162753056759,0.882366679641884
66,0.6405813289129062,0.12594172482796218,0.8661346827559362
67,0.39878886308264305,0.0669788859465581,0.8852471778902297
68,0.766171532289657,0.15573309234027688,0.8902296613468275
69,0.4651626805119583,0.0835918683925223,0.8638380692876606
70,0.47849918819323245,0.08722801425899718,0.8894122226547294
71,0.012928843607498179,-0.02319488461751429,0.88283378746594
72,0.33340384754772345,0.05057170642660358,0.8727520435967303
73,0.6860682087426128,0.13704677926807096,0.8810821331257298
74,0.3320751740112232,0.051069811117637975,0.8670299727520436
75,0.533422736672792,0.09394293826600841,0.8683145192681977
76,0.4546784433933871,0.07880924739236339,0.867574931880109
77,0.36736103720323865,0.05838084400149435,0.8704554301284546
78,0.7859283489520049,0.1706053974286872,0.8723238614246789
79,0.7161833801885218,0.14606708603062857,0.8813546126897626
80,0.624047836745487,0.12357507646938282,0.8739587388088751
81,0.7132745709062347,0.14442719583735664,0.8526274815103154
82,0.42097703324156205,0.07178426247669734,0.8667185675360063
83,0.4699132497861442,0.08468717603490616,0.8852861035422344
84,0.41785605964326356,0.07104038245760447,0.8792526274815102
85,0.5915777417426273,0.10398383906197606,0.8415336706889841
86,0.40111829960440554,0.06566014576030099,0.8591669910471001
87,0.37471554020089287,0.05871856525808483,0.873841961852861
88,0.43556135886761943,0.07526218511827398,0.87574931880109
89,0.7049126306944282,0.13374705367241924,0.8447644998053718
90,0.7091411486211726,0.1416138770408195,0.8604515375632541
91,0.671753746205859,0.13103441585149755,0.8699104710003892
92,0.6064330417365866,0.11387612624479426,0.861191124951343
93,0.564015323535575,0.10937002573894028,0.8860256909303231
94,0.9018310620438013,0.18874279853850506,0.8612689762553523
95,0.48342305340659036,0.0863316698095078,0.8654729466718567
96,0.27228555259632065,0.03681336490269094,0.8640716231996886
97,0.524921435087499,0.09520164008050935,0.8710003892565201
98,0.5535492477768504,0.10212150805241804,0.8698715453483846
99,0.8259533649003173,0.1751313525716569,0.8677306344881277
